Question,1,2,3,4,5
BNA_010,0.215,0,0,0,0
BNA_023,0,0,0,0,0.728
BNA_024,0,0,0,0,1.707
BNA_030,0,0,0,0,0.184
BNA_038,2.729,0,0,0,0
BNA_043,6.111,0,0,0,0
BNA_045,4.447,0,0,0,0
BNA_047,5.439,0,0,0,0
BNA_051,2.162,0,0,0,0
BNA_052,1.645,0,0,0,0
BNA_054,7.869,0,0,0,0
BNA_057,7.697,0,0,0,0
BNA_060,5.54,0,0,0,0
BNA_071,5.417,0,0,0,0
BNA_073,3.089,0,0,0,0
BNA_081,0,0,0,0,0.238
BNA_083,0.261,0,0,0,0
BNA_091,0.021,0,0,0,0
BNA_094,0,0,0,0,0.35
BNA_101,0,0,0,0,0.019
BNA_103,0,0,0,0,0.035
BNA_104,0,0,0,0,0.388
BNA_105,1.056,0,0,0,0
BNA_106,0,0,0,0,2.565
BNA_107,0.59,0,0,0,0
BNA_108,0,0,0,0,1.94
BNA_110,1.627,0,0,0,0
BNA_111,0,0,0,0,3.8
BNA_112,0,0,0,0,1.541
BNA_113,1.566,0,0,0,0
BNA_114,0,0,0,0,1.533
BNA_115,0.122,0,0,0,0
BNA_116,0,0,0,0,0.003
BNA_117,0,0,0,0,3.252
BNA_118,1.799,0,0,0,0
BNA_119,0,0,0,0,0.759
BNA_120,3.22,0,0,0,0
BNA_121,0,0,0,0,0
BNA_122,1.073,0,0,0,0
BNA_123,1.88,0,0,0,0
BNA_124,0,0,0,0,1.265
BNA_125,0,0,0,0,2.949
BNA_126,0,0,0,0,2.297
BNA_127,0,0,0,0,1.584
BNA_128,0,0,0,0,1.552
BNA_129,0,0,0,0,1.337
