Question,1,2,3,4,5
BNA_010,24,0,0,0,0
BNA_023,0,0,0,0,30
BNA_024,0,0,0,0,91
BNA_030,0,0,0,0,29
BNA_038,268,0,0,0,0
BNA_043,600,0,0,0,0
BNA_045,520,0,0,0,0
BNA_047,416,0,0,0,0
BNA_051,43,0,0,0,0
BNA_052,33,0,0,0,0
BNA_054,577,0,0,0,0
BNA_057,1176,0,0,0,0
BNA_060,763,0,0,0,0
BNA_071,343,0,0,0,0
BNA_073,650,0,0,0,0
BNA_081,0,0,0,0,27
BNA_083,64,0,0,0,0
BNA_091,3,0,0,0,0
BNA_094,0,0,0,0,30
BNA_101,0,0,0,0,2
BNA_103,0,0,0,0,5
BNA_104,0,0,0,0,52
BNA_105,33,0,0,0,0
BNA_106,0,0,0,0,160
BNA_107,24,0,0,0,0
BNA_108,0,0,0,0,53
BNA_110,126,0,0,0,0
BNA_111,0,0,0,0,653
BNA_112,0,0,0,0,374
BNA_113,179,0,0,0,0
BNA_114,0,0,0,0,539
BNA_115,25,0,0,0,0
BNA_116,0,0,0,0,0
BNA_117,0,0,0,0,247
BNA_118,298,0,0,0,0
BNA_119,0,0,0,0,2
BNA_120,449,0,0,0,0
BNA_121,0,0,0,0,0
BNA_122,191,0,0,0,0
BNA_123,468,0,0,0,0
BNA_124,0,0,0,0,261
BNA_125,0,0,0,0,524
BNA_126,0,0,0,0,214
BNA_127,0,0,0,0,443
BNA_128,0,0,0,0,655
BNA_129,0,0,0,0,471
