Sen_slope,Count,area
-11.5,2,0.5
-11.0,3.161,0.79025
-10.5,13.063,3.26575
-10.0,20.859,5.21475
-9.5,36.478,9.1195
-9.0,48.737,12.18425
-8.5,66.094,16.5235
-8.0,103.32,25.83
-7.5,211.341,52.83525
-7.0,379.11,94.7775
-6.5,706.6,176.65
-6.0,1142.12,285.53
-5.5,1648.33,412.0825
-5.0,2294.11,573.5275
-4.5,2190.87,547.7175
-4.0,1659.16,414.79
-3.5,1113.58,278.395
-3.0,595.62,148.905
-2.5,558.161,139.54025
-2.0,550.45,137.6125
-1.5,591.4,147.85
-1.0,642.71,160.6775
-0.5,5,1.25
0.0,0,0
0.5,1,0.25
1.0,1,0.25
1.5,1,0.25
2.0,1.004,0.251
2.5,1.318,0.3295
3.0,11.349,2.83725
3.5,11.957,2.98925
4.0,10.569,2.64225
