date,value
2000-02-01,5.396
2000-03-01,1.286
2000-04-01,6.671
2000-05-01,18.363
2000-06-01,32.28
2000-07-01,43.462
2000-08-01,36.875
2000-09-01,36.906
2000-10-01,30.613
2000-11-01,22.499
2000-12-01,11.684
2001-01-01,3.891
2001-02-01,1.747
2001-03-01,3.047
2001-04-01,8.017
2001-05-01,23.408
2001-06-01,21.63
2001-07-01,33.548
2001-08-01,37.872
2001-09-01,34.395
2001-10-01,28.623
2001-11-01,20.366
2001-12-01,9.283
2002-01-01,3.489
2002-02-01,2.074
2002-03-01,2.865
2002-04-01,7.812
2002-05-01,7.751
2002-06-01,45.151
2002-07-01,42.467
2002-08-01,40.767
2002-09-01,36.355
2002-10-01,31.739
2002-11-01,26.996
2002-12-01,17.793
2003-01-01,10.776
2003-02-01,4.72
2003-03-01,3.094
2003-04-01,2.782
2003-05-01,14.282
2003-06-01,35.817
2003-07-01,37.789
2003-08-01,32.557
2003-09-01,29.416
2003-10-01,22.49
2003-11-01,15.254
2003-12-01,5.824
2004-01-01,2.901
2004-02-01,2.24
2004-03-01,1.681
2004-04-01,11.356
2004-05-01,16.255
2004-06-01,24.269
2004-07-01,32.139
2004-08-01,36.495
2004-09-01,27.501
2004-10-01,17.143
2004-11-01,16.373
2004-12-01,5.583
2005-01-01,2.834
2005-02-01,1.615
2005-03-01,4.438
2005-04-01,7.937
2005-05-01,31.155
2005-06-01,34.44
2005-07-01,36.321
2005-08-01,38.723
2005-09-01,38.285
2005-10-01,32.237
2005-11-01,26.622
2005-12-01,17.785
2006-01-01,8.262
2006-02-01,4.401
2006-03-01,2.914
2006-04-01,4.174
2006-05-01,7.163
2006-06-01,32.543
2006-07-01,39.153
2006-08-01,37.338
2006-09-01,33.463
2006-10-01,30.627
2006-11-01,21.461
2007-01-01,4.693
2007-02-01,3.368
2007-03-01,3.155
2007-04-01,5.522
2007-05-01,12.906
2007-06-01,39.142
2007-07-01,41.87
2007-08-01,39.899
2007-09-01,33.646
2007-10-01,26.267
2007-11-01,14.719
2007-12-01,5.669
2008-01-01,2.329
2008-02-01,2.605
2008-03-01,3.338
2008-04-01,2.401
2008-05-01,28.65
2008-06-01,37.936
2008-07-01,36.886
2008-08-01,39.969
2008-09-01,35.589
2008-10-01,29.83
2008-11-01,21.433
2008-12-01,8.679
2009-01-01,3.433
2009-02-01,2.148
2009-03-01,2.229
2009-04-01,1.555
2009-05-01,8.947
2009-06-01,21.318
2009-07-01,41.903
2009-08-01,39.46
2009-09-01,35.502
2009-10-01,29.886
2009-11-01,20.91
2009-12-01,10.381
2010-01-01,4.026
2010-02-01,1.876
2010-03-01,1.375
2010-04-01,1.362
2010-05-01,8.287
2010-06-01,33.369
2010-07-01,39.913
2010-08-01,33.168
2010-09-01,25.954
2010-10-01,15.371
2010-11-01,10.565
2010-12-01,3.113
2011-01-01,1.983
2011-02-01,2.223
2011-03-01,1.385
2011-04-01,1.548
2011-05-01,2.869
2011-06-01,24.829
2011-07-01,42.238
2011-08-01,38.944
2011-09-01,32.248
2011-10-01,23.714
2011-11-01,12.254
2011-12-01,3.382
2012-01-01,1.641
2012-02-01,1.223
2012-03-01,1.114
2012-04-01,8.453
2012-05-01,21.666
2012-06-01,33.229
2012-07-01,30.701
2012-08-01,32.147
2012-09-01,25.074
2012-10-01,19.758
2012-11-01,9.427
2012-12-01,3.402
2013-01-01,1.724
2013-02-01,1.545
2013-03-01,1.141
2013-04-01,1.354
2013-05-01,18.139
2013-06-01,34.303
2013-07-01,35.327
2013-08-01,34.716
2013-09-01,27.598
2013-10-01,22.342
2013-11-01,12.082
2013-12-01,3.629
2014-01-01,1.447
2014-02-01,1.602
2014-03-01,2.429
2014-04-01,1.895
2014-05-01,17.962
2014-06-01,37.85
2014-07-01,33.999
2014-08-01,29.717
2014-09-01,26.64
2014-10-01,17.076
2014-11-01,6.282
2014-12-01,2.777
2015-01-01,1.306
2015-02-01,1.519
2015-03-01,3.309
2015-04-01,3.059
2015-05-01,2.033
2015-06-01,5.427
2015-07-01,33.328
2015-08-01,39.551
2015-09-01,34.143
2015-10-01,32.41
2015-11-01,24.765
2015-12-01,13.125
2016-01-01,5.286
2016-02-01,2.432
2016-03-01,1.535
2016-04-01,12.368
2016-05-01,26.376
2016-06-01,41.031
2016-07-01,39.394
2016-08-01,33.981
2016-09-01,29.032
2016-10-01,22.688
2016-11-01,14.363
2016-12-01,8.758
2017-01-01,2.601
2017-02-01,1.857
2017-03-01,1.946
2017-04-01,6.718
2017-05-01,25.002
2017-06-01,36.76
2017-07-01,35.21
2017-08-01,31.141
2017-09-01,25.142
2017-10-01,20.844
2017-11-01,9.303
2017-12-01,2.835
2018-01-01,1.861
2018-02-01,1.298
2018-03-01,1.451
2018-04-01,1.185
2018-05-01,3.755
2018-06-01,36.348
2018-07-01,34.136
2018-08-01,30.782
2018-09-01,24.667
2018-10-01,21.922
2018-11-01,11.441
2018-12-01,4.859
2019-01-01,1.736
2019-02-01,1.168
2019-03-01,1.087
2019-04-01,2.198
2019-05-01,3.399
2019-06-01,27.935
2019-07-01,27.486
2019-08-01,17.614
2019-09-01,16.141
2019-10-01,5.959
2019-11-01,2.035
2019-12-01,0.973
2020-01-01,1.174
2020-02-01,0.926
2020-03-01,0.843
2020-04-01,3.863
2020-05-01,4.122
2020-06-01,26.276
2020-07-01,41.096
2020-08-01,33.813
2020-09-01,27.999
2020-10-01,16.95
2020-11-01,6.546
2020-12-01,2.003
2021-01-01,1.225
2021-02-01,5.858
2021-03-01,1.898
2021-04-01,1.291
2021-05-01,9.419
2021-06-01,22.811
2021-07-01,27.226
2021-08-01,22.91
2021-09-01,26.956
2021-10-01,12.096
2021-11-01,2.744
2021-12-01,1.118
2022-01-01,0.868
2022-02-01,1.018
2022-03-01,0.861
2022-04-01,5.209
2022-05-01,10.88
2022-06-01,29.632
2022-07-01,44.098
2022-08-01,37.365
2022-09-01,29.672
2022-10-01,20.43
2022-11-01,7.153
2022-12-01,1.859
2023-01-01,1.976
2023-02-01,1.276
2023-03-01,0.883
2023-04-01,1.193
2023-05-01,2.86
2023-06-01,16.165
2023-07-01,31.041
2023-08-01,28.891
