group,variable,value
SCA,100,4.831617303992393
SCA,200,8.344280191809428
SCA,300,10.765320958336892
SCA,400,13.718089866270848
SCA,500,16.979439256437733
SCA,600,20.42230342539631
SCA,700,24.553928079125036
SCA,800,28.263084557829924
SCA,900,32.34506863544452
SCA,1000,35.975851034334795
SCA,1100,39.92331993806929
SCA,1200,43.6340279694035
SCA,1300,47.05737938411741
SCA,1400,50.527983615480615
SCA,1500,52.60505304358169
SCA,1600,58.02556535101903
SCA,1700,60.13104491567902
SCA,1800,60.29486534941688
SCA,1900,59.21006886106033
SCA,2000,55.4354779076958
SCA,2100,45.28899610781407
SCA,2200,44.545596524107346
