Elevation,SCA
100,15.572802980230676
200,19.593862197663636
300,13.712387221021565
400,18.379156048193988
500,19.345708183786336
600,21.73203528289029
700,27.921893981675822
800,32.689499785108374
900,37.17451113729805
1000,41.525489998426394
1100,43.1686556584646
1200,52.09568547709356
1300,61.4447964015686
1400,70.38106464949489
1500,66.99296985318566
1600,55.968679146692395
1700,58.84735956773319
1800,59.31364685227228
1900,59.36261449796011
2000,59.3430154569379
2100,58.907768990469144
2200,60.66190905694787
2300,61.88936146878259
2400,66.18921699196389
2500,64.52085407508025
2600,73.35690528983208
2700,73.81453918247837
2800,82.27410078419716
2900,76.56202602992416
3000,76.27061281664943
3100,91.97565165173553
3200,96.25040140213142
3300,98.3990227160959
3400,98.44886014679147
3500,97.91141406089051
