Elevation,Area
0,1145.42
100,3324.20
200,1541.25
300,779.43
400,473.54
500,383.60
600,314.04
700,287.64
800,240.63
900,0.00
1000,221.96
1100,223.89
1200,233.33
1300,244.93
1400,259.09
1500,262.53
1600,237.63
1700,220.24
1800,172.37
1900,144.25
2000,107.11
2100,89.51
2200,66.33
2300,44.43
2400,30.70
2500,17.60
2600,11.59
2700,6.65
2800,4.08
2900,2.15
3000,2.15
3100,1.07
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
