Month,Elevation,SCA,CCA
1.0,100,0.0,8.376301845462159
1.0,200,0.0,3.3483338507606266
1.0,300,0.0,2.2593577326798435
1.0,400,0.0,1.8245019969930365
1.0,500,0.0,1.1438690262472335
1.0,600,0.0,0.8950122719723129
1.0,700,0.0,0.7136745505611393
1.0,800,0.0,0.6162983922504209
1.0,900,0.0,0.5713653981641287
1.0,1000,0.0,0.5135386168353671
1.0,1100,0.0,0.5271481070155846
1.0,1200,0.0,0.5460103855379255
1.0,1300,0.0,0.6044047745859129
1.0,1400,0.0048188423501817415,0.629466990994568
1.0,1500,0.0010806006047877567,0.6480388392145543
1.0,1600,0.0,0.6689433417724368
1.0,1700,0.0,0.6827670110980869
1.0,1800,0.0,0.6821765071624497
1.0,1900,0.0,0.6848428534859585
1.0,2000,0.0,0.6795062988865802
1.0,2100,4.628665324353713E-5,0.6772347059316821
1.0,2200,9.630014830222825E-4,0.6753643303836485
1.0,2300,0.006423783927267888,0.6730571628573061
1.0,2400,0.014506672782786915,0.6607014841610496
1.0,2500,0.015937915254637048,0.6820997979934261
1.0,2600,0.039156010439421005,0.6892898549232929
1.0,2700,0.031605729674360115,0.6719075517884031
1.0,2800,0.06156845053158423,0.7254785504103343
1.0,2900,0.09095824216671006,0.7260389951973377
1.0,3000,0.0967480428035389,0.7077379472877346
1.0,3100,0.08821694120123565,0.737130835865422
1.0,3200,0.11917386728517108,0.7359136087238769
1.0,3300,0.1552390164950146,0.7719829008267106
1.0,3400,0.24602284822252202,0.8509048443430133
1.0,3500,0.34378215385132277,0.9018594632195223
1.0,3600,0.4680585995116709,0.9269732900075268
1.0,3700,0.6271651889766314,0.9906838770289375
1.0,3800,0.8208664231030897,1.0279856707876782
1.0,3900,0.9574060105962434,1.1319187387488963
1.0,4000,1.2146702310762776,1.237815376725164
1.0,4100,1.3757976066703335,1.4100629543627945
1.0,4200,1.5780010576414605,1.6437357711489557
1.0,4300,1.916040985778643,1.9170486446509316
1.0,4400,2.0181110493287786,1.9400730597429467
1.0,4500,2.908772302463892,2.3571813438880818
1.0,4600,3.6426380368098177,2.371956031498218
1.0,4700,5.194113169246386,2.8793180596595485
1.0,4800,6.125238397965672,3.0036149904185097
1.0,4900,9.351089588377725,3.33710849019761
1.0,5000,4.0,2.9748536817748743
2.0,100,0.0,8.22069215262486
2.0,200,0.0,3.596332738676599
2.0,300,0.0,1.871265824088311
2.0,400,0.0,1.2351112437319347
2.0,500,0.0,0.5890046554381881
2.0,600,0.0,0.34327337251366197
2.0,700,0.0,0.19007879304095832
2.0,800,0.0,0.10671259051657438
2.0,900,0.0,0.061259581634221
2.0,1000,0.0,0.03157276595696794
2.0,1100,0.0,0.024646316506456954
2.0,1200,0.0,0.019261597025400687
2.0,1300,0.0,0.01902456223033492
2.0,1400,0.007435000131559661,0.028737462230295992
2.0,1500,0.0013681797979974018,0.014446808431174567
2.0,1600,0.0,0.0181603553237528
2.0,1700,0.001213816140841512,0.010907698646213496
2.0,1800,2.5426012845221638E-5,0.017121206473809304
2.0,1900,0.0,0.019312850768854962
2.0,2000,2.718174256715246E-5,0.02023731513204021
2.0,2100,0.0016663195167673365,0.010202710108979612
2.0,2200,0.0023818236680084454,0.02643703631743149
2.0,2300,0.013531090317871098,0.03119009886843362
2.0,2400,0.01743094279038428,0.03216725525579049
2.0,2500,0.016960080515171245,0.025261646314617463
2.0,2600,0.02422502024887705,0.030683241807301965
2.0,2700,0.02675665405521496,0.028267505882226627
2.0,2800,0.030252215289541036,0.043083981428061004
2.0,2900,0.05964197916754649,0.05374374123975384
2.0,3000,0.07094547644415602,0.07162639561529037
2.0,3100,0.09826107222602266,0.06604325018936781
2.0,3200,0.11700865414909783,0.07645844605179862
2.0,3300,0.1297220062085489,0.09314618272365542
2.0,3400,0.1788169067385699,0.1350552086461579
2.0,3500,0.25537874874534355,0.13577482080049044
2.0,3600,0.32147232106399115,0.15574932416803589
2.0,3700,0.4171239736554246,0.17577231010398703
2.0,3800,0.4886194061851427,0.22313640475569443
2.0,3900,0.5626823217222986,0.3110352783014296
2.0,4000,0.7007116612346022,0.38951666754945574
2.0,4100,0.891260473365543,0.47015664251982026
2.0,4200,1.1289078296575108,0.5343102197037188
2.0,4300,1.50313576539175,0.7488682683316407
2.0,4400,1.6784494399872893,0.7342892835673884
2.0,4500,2.230033984706881,1.0594901392516605
2.0,4600,2.2551124744376296,1.102850109249517
2.0,4700,3.276325805633088,1.106594435409982
2.0,4800,3.5219326128417037,1.3021398664031891
2.0,4900,3.8595641646489103,1.403082097830365
2.0,5000,3.949367088607595,1.7039346511192865
3.0,100,0.0,10.188499946675282
3.0,200,0.0,4.570947901664286
3.0,300,0.0,2.8942820525275494
3.0,400,0.0,2.2808883936636115
3.0,500,0.0,1.7760145511793837
3.0,600,0.0,1.5924487396390237
3.0,700,0.0,1.4523751129080722
3.0,800,0.0,1.3491633608981664
3.0,900,0.0,1.3085913627145915
3.0,1000,0.0,1.3084914104594028
3.0,1100,0.0,1.2804357771714563
3.0,1200,0.0,1.2560192207547316
3.0,1300,0.0,1.2597539703399852
3.0,1400,0.009904562864843128,1.3023279652857258
3.0,1500,0.0018518357138499863,1.2925003201959797
3.0,1600,0.0,1.2576257725182096
3.0,1700,0.0,1.254286580533418
3.0,1800,4.678386363520781E-4,1.237484289214939
3.0,1900,0.002525318953044849,1.225726862398582
3.0,2000,0.01016597172011502,1.2366221850909116
3.0,2100,0.001475387072137746,1.2524106553126075
3.0,2200,0.004571047039412434,1.2265225719370791
3.0,2300,0.008859247461676269,1.1545332786108586
3.0,2400,0.013847278565387512,1.158355654207818
3.0,2500,0.02146547047121813,1.1340273391771447
3.0,2600,0.0330036243444681,1.070396219001227
3.0,2700,0.03670262857898119,1.0594262908108287
3.0,2800,0.05117510363554325,1.0329872089522083
3.0,2900,0.10583494546898332,1.0041674310520439
3.0,3000,0.17172372261083024,0.9897586155643313
3.0,3100,0.27873215399998413,0.9667266609937198
3.0,3200,0.4096543032773143,1.0556393899405385
3.0,3300,0.5678609588478148,1.0941380070976
3.0,3400,0.7735849949147336,1.1462019127963279
3.0,3500,1.0178066716222973,1.2318474046656251
3.0,3600,1.291289239256339,1.3242992736141304
3.0,3700,1.53074995269238,1.36696498869871
3.0,3800,1.681829356843505,1.4413193329243794
3.0,3900,1.8940012177500711,1.53313844641787
3.0,4000,2.123887647855855,1.6429466204441008
3.0,4100,2.475404154689825,1.8737536424744317
3.0,4200,2.6702958285376583,1.9803837716706891
3.0,4300,3.143891882342551,2.0350520928842157
3.0,4400,3.2668996743188488,2.149979639712497
3.0,4500,3.90909090909091,2.276199511356954
3.0,4600,4.258350374914793,2.2198295766029514
3.0,4700,4.646028926668357,2.5091329341127313
3.0,4800,5.5441830896376345,2.5871408846431607
3.0,4900,5.949152542372881,2.9348473463026354
3.0,5000,4.0,1.9420171498570846
