group,variable,value
1.0,100,0.08490792171510801
1.0,200,0.08061923647475938
1.0,300,0.08968385548511379
1.0,400,0.08299997556733915
1.0,500,0.07962664827404643
1.0,600,0.0815067312489092
1.0,700,0.08338258903205926
1.0,800,0.10841857697429935
1.0,900,0.11943407690304651
1.0,1000,0.24877467214200552
1.0,1100,0.296882270823639
1.0,1200,0.0
1.0,1300,0.0
2.0,100,0.07851782564179326
2.0,200,0.06642502146685006
2.0,300,0.06977552685414509
2.0,400,0.06063002211526264
2.0,500,0.06268856913609634
2.0,600,0.05313422885447246
2.0,700,0.051972071065486826
2.0,800,0.04430591368904251
2.0,900,0.025634348870179072
2.0,1000,0.07590409325738508
2.0,1100,0.0
2.0,1200,0.0
2.0,1300,0.0
3.0,100,0.22722455504214376
3.0,200,0.3058782935703823
3.0,300,0.37428379923143373
3.0,400,0.3888658135965586
3.0,500,0.3666000627336293
3.0,600,0.3763860048470963
3.0,700,0.36754538833193084
3.0,800,0.34239891190388494
3.0,900,0.4617654717472439
3.0,1000,0.36932043979335
3.0,1100,0.7054443927408097
3.0,1200,1.0
3.0,1300,1.0
4.0,100,1.0411831639284352
4.0,200,1.7640009476576943
4.0,300,2.175481781319958
4.0,400,2.2738583098076632
4.0,500,2.2465084924347147
4.0,600,2.1713994125497087
4.0,700,1.9625720245426914
4.0,800,1.890997704797258
4.0,900,1.7494430460318837
4.0,1000,1.6367730825274862
4.0,1100,1.8971614704513728
4.0,1200,1.0
4.0,1300,1.3268156424581008
5.0,100,4.222158414522177
5.0,200,7.430097668063867
5.0,300,9.178416755909883
5.0,400,9.89172110337923
5.0,500,9.78850016376612
5.0,600,9.396510686778136
5.0,700,8.639658019272682
5.0,800,8.512685953925908
5.0,900,8.76463269970778
5.0,1000,7.742879851635977
5.0,1100,9.947882736156355
5.0,1200,6.0
5.0,1300,6.326815642458102
6.0,100,8.241475751078577
6.0,200,14.330473089187759
6.0,300,17.783061702600005
6.0,400,19.69282220203483
6.0,500,20.78070785019513
6.0,600,20.718751034545182
6.0,700,20.33125188283889
6.0,800,21.16476155393727
6.0,900,24.125943928478417
6.0,1000,27.385746456484288
6.0,1100,45.71707771056306
6.0,1200,38.43977591036414
6.0,1300,39.3268156424581
7.0,100,7.539520216413444
7.0,200,12.52458371958657
7.0,300,15.290391859871562
7.0,400,16.86367832993169
7.0,500,18.041710063201847
7.0,600,18.816067325046532
7.0,700,19.725504028798586
7.0,800,23.05052279618032
7.0,900,28.801319329919263
7.0,1000,37.064644323751466
7.0,1100,69.09073987901353
7.0,1200,66.63865546218489
7.0,1300,71.6340782122905
8.0,100,3.7082982629556844
8.0,200,5.490878794807805
8.0,300,6.594667197757434
8.0,400,7.267311837032784
8.0,500,8.149590238509175
8.0,600,9.256446142588699
8.0,700,10.863453669772055
8.0,800,14.62018644980306
8.0,900,22.047999305615804
8.0,1000,32.7798383891906
8.0,1100,58.32712889716147
8.0,1200,61.280112044817926
8.0,1300,61.0
9.0,100,1.4784932048052635
9.0,200,1.955579860246798
9.0,300,2.231222422740021
9.0,400,2.3709485277840474
9.0,500,2.644040392137173
9.0,600,2.990889155000815
9.0,700,3.576116261244596
9.0,800,4.918568473548487
9.0,900,7.545496629343516
9.0,1000,17.013511723407074
9.0,1100,47.576081898557476
9.0,1200,52.638655462184865
9.0,1300,56.0
10.0,100,0.6785090027415985
10.0,200,0.8586195360907732
10.0,300,0.9847952010836112
10.0,400,0.9995454044012896
10.0,500,1.03299060901874
10.0,600,1.0488453622134568
10.0,700,1.116217391138549
10.0,800,1.2466804567736804
10.0,900,1.7834678702658917
10.0,1000,3.7210226520068876
10.0,1100,13.154025127966499
10.0,1200,13.319327731092436
10.0,1300,15.0
11.0,100,0.2862092864798275
11.0,200,0.3373574993551493
11.0,300,0.3978381349867049
11.0,400,0.44157002808275814
11.0,500,0.48697670710848595
11.0,600,0.5140441261248747
11.0,700,0.5947921155290854
11.0,800,0.6457963786801175
11.0,900,0.7802274108150334
11.0,1000,1.1610809378725653
11.0,1100,2.4592833876221496
11.0,1200,0.0
11.0,1300,0.9804469273743017
12.0,100,0.13537738328916593
12.0,200,0.15380251399616127
12.0,300,0.1770651535242148
12.0,400,0.20025084200137946
12.0,500,0.21695783503136087
12.0,600,0.2481983221250522
12.0,700,0.26739552389632404
12.0,800,0.27532232013827873
12.0,900,0.22900211208517757
12.0,1000,0.32600344416479
12.0,1100,0.5565379246161005
12.0,1200,0.7198879551820727
12.0,1300,1.0
