Month,Elevation,SCA
1.0,100,0.8426769534730226
1.0,200,0.8935755287634253
1.0,300,1.7594078094325882
1.0,400,2.297048112968454
1.0,500,3.4639874018010164
1.0,600,4.719226169824242
1.0,700,7.583393851172058
1.0,800,9.90106622094996
1.0,900,15.46219582353928
1.0,1000,19.10571139522822
1.0,1100,23.527278292431383
1.0,1200,35.74414393232095
1.0,1300,50.4504306473422
1.0,1400,60.78859485598666
1.0,1500,71.16028985645646
1.0,1600,80.38206146095703
1.0,1700,80.5715599085543
1.0,1800,82.47336703605731
1.0,1900,86.6726592563468
1.0,2000,86.41349050856937
1.0,2100,82.5741789354472
1.0,2200,79.82227626459135
1.0,2300,81.10101466293303
1.0,2400,72.81769260549736
1.0,2500,69.69628331310946
1.0,2600,67.27756433490394
1.0,2700,74.12378132447465
1.0,2800,74.82554379776606
1.0,2900,73.17263622474968
1.0,3000,68.37806929027924
1.0,3100,74.94278884462155
1.0,3200,93.72382466500115
1.0,3300,92.35182012847967
1.0,3400,99.80899908172636
1.0,3500,93.55281207133058
1.0,3600,98.85204678362571
1.0,3700,98.77488938053094
1.0,3800,92.14964883846568
1.0,3900,88.45283018867923
2.0,100,0.86342142101305
2.0,200,0.8906344244465952
2.0,300,1.8276601107311752
2.0,400,2.331124732735178
2.0,500,3.4375566340397423
2.0,600,4.498373077344804
2.0,700,7.3317671641021995
2.0,800,9.48133934219223
2.0,900,15.041692225046575
2.0,1000,19.175261205821485
2.0,1100,25.653195834995017
2.0,1200,38.78550548359954
2.0,1300,52.12716269109714
2.0,1400,60.97717339609763
2.0,1500,71.14302115207482
2.0,1600,80.33883727959712
2.0,1700,82.77869168959967
2.0,1800,86.26287287823484
2.0,1900,89.07118434063632
2.0,2000,88.9658703633578
2.0,2100,84.85247548024516
2.0,2200,82.50722276264585
2.0,2300,80.61108602053407
2.0,2400,84.09485094850936
2.0,2500,83.21504651476333
2.0,2600,87.680608916274
2.0,2700,91.58835848920346
2.0,2800,98.40123456790127
2.0,2900,92.39534883720938
2.0,3000,97.61150353178614
2.0,3100,93.14565737051794
2.0,3200,95.8382920735862
2.0,3300,95.88822269807284
2.0,3400,98.32093663911844
2.0,3500,96.49108367626884
2.0,3600,98.93391812865497
2.0,3700,98.19634955752211
2.0,3800,98.09022150189085
2.0,3900,98.67115902964959
3.0,100,1.3803098594947336
3.0,200,1.6636109926048295
3.0,300,2.822534286684983
3.0,400,3.4298263533584072
3.0,500,4.750343850957865
3.0,600,5.838691020127283
3.0,700,9.196468459940693
3.0,800,11.724870061679253
3.0,900,18.040349854524518
3.0,1000,22.832838368004875
3.0,1100,32.22681274290746
3.0,1200,45.750172386897894
3.0,1300,59.268210331754545
3.0,1400,67.49283663643068
3.0,1500,79.46092761703873
3.0,1600,85.72235365239297
3.0,1700,88.1437204655638
3.0,1800,91.34415280056238
3.0,1900,91.84161930972013
3.0,2000,93.78903175883683
3.0,2100,91.33056261885935
3.0,2200,91.57782101167298
3.0,2300,89.61346460723199
3.0,2400,93.81715060007734
3.0,2500,88.6162419666531
3.0,2600,95.48655309894882
3.0,2700,95.40918610529361
3.0,2800,96.87228101116997
3.0,2900,98.84196231539646
3.0,3000,97.63605785401961
3.0,3100,98.91776892430278
3.0,3200,97.0897115602998
3.0,3300,97.19550321199145
3.0,3400,96.91414141414138
3.0,3500,94.4122085048011
3.0,3600,95.69181286549708
3.0,3700,94.52267699115043
3.0,3800,99.74716369529982
3.0,3900,99.63342318059297
4.0,100,3.139291296142059
4.0,200,4.443147133519124
4.0,300,6.107655499712691
4.0,400,7.002794252926255
4.0,500,8.648602751897958
4.0,600,9.807873384160438
4.0,700,13.695959056441707
4.0,800,16.999991299916726
4.0,900,23.78115868038873
4.0,1000,29.89646800505407
4.0,1100,39.87201261367231
4.0,1200,55.450513091231464
4.0,1300,71.7654212874987
4.0,1400,77.92143558874331
4.0,1500,86.54100332723934
4.0,1600,90.27956876574316
4.0,1700,91.49395367652015
4.0,1800,95.0071478790718
4.0,1900,96.97907954775584
4.0,2000,96.99621330611272
4.0,2100,95.334814846471
4.0,2200,96.98927529182863
4.0,2300,94.98133261072462
4.0,2400,96.33797909407669
4.0,2500,97.6192081254774
4.0,2600,95.40434940195719
4.0,2700,94.96742976818085
4.0,2800,94.88918283362729
4.0,2900,97.37905279239523
4.0,3000,96.52287251934077
4.0,3100,98.87585657370515
4.0,3200,99.61526232114468
4.0,3300,99.00214132762318
4.0,3400,99.30578512396691
4.0,3500,98.74828532235938
4.0,3600,99.73099415204676
4.0,3700,99.14048672566369
4.0,3800,99.45921123716907
4.0,3900,99.81671159029648
5.0,100,8.255497528234926
5.0,200,12.779900686238223
5.0,300,16.289969179238344
5.0,400,18.586085598247543
5.0,500,21.436370985294683
5.0,600,23.52235212316888
5.0,700,28.184952779878646
5.0,800,32.58189901351514
5.0,900,39.89469439798668
5.0,1000,46.10143489478562
5.0,1100,55.18410273075932
5.0,1200,67.40336499223493
5.0,1300,79.49516880808564
5.0,1400,86.17099210936561
5.0,1500,91.60011074884432
5.0,1600,94.08868110831229
5.0,1700,95.1441495001747
5.0,1800,96.97627138504811
5.0,1900,98.08536164027771
5.0,2000,98.25821959531743
5.0,2100,97.95478535866131
5.0,2200,98.23993190661474
5.0,2300,97.70863818384353
5.0,2400,95.42853271389846
5.0,2500,96.66922834928758
5.0,2600,97.99768031895611
5.0,2700,96.91066657037628
5.0,2800,96.59068195179309
5.0,2900,97.64233576642343
5.0,3000,98.87571476622948
5.0,3100,98.67314741035857
5.0,3200,91.3306836248013
5.0,3300,99.04496788008571
5.0,3400,97.46464646464645
5.0,3500,98.48285322359396
5.0,3600,79.70116959064327
5.0,3700,95.00940265486722
5.0,3800,90.2215018908698
5.0,3900,95.02964959568732
6.0,100,15.242205371887279
6.0,200,24.679565111898864
6.0,300,31.08915790057303
6.0,400,35.85318665659361
6.0,500,41.42028154910661
6.0,600,45.98776649104906
6.0,700,52.410928143715644
6.0,800,60.44858812981246
6.0,900,69.11895599895156
6.0,1000,75.68858955456378
6.0,1100,81.99725280435146
6.0,1200,87.77266972479173
6.0,1300,92.3070324096399
6.0,1400,94.53435186053093
6.0,1500,96.62075442876102
6.0,1600,97.44219244332504
6.0,1700,97.90781272026337
6.0,1800,98.42056982155395
6.0,1900,98.53915436577414
6.0,2000,98.72039381616385
6.0,2100,98.65048398470037
6.0,2200,98.60080252918279
6.0,2300,98.2855207298346
6.0,2400,98.65210994967086
6.0,2500,98.29976180845792
6.0,2600,97.89169989126492
6.0,2700,98.28121614790206
6.0,2800,98.52160493827164
6.0,2900,98.77474113053819
6.0,3000,98.74890682811984
6.0,3100,98.91282868525899
6.0,3200,99.07653872359757
6.0,3300,99.12719486081377
6.0,3400,99.41092745638197
6.0,3500,99.56721536351165
6.0,3600,99.77251461988301
6.0,3700,99.6338495575221
6.0,3800,99.87898433279307
6.0,3900,99.9164420485175
7.0,100,12.907815250866037
7.0,200,21.29438538461465
7.0,300,28.056952133065067
7.0,400,33.692820579253954
7.0,500,41.06178066555954
7.0,600,48.1363002361681
7.0,700,57.62925516050019
7.0,800,69.64252632031824
7.0,900,80.69425130141643
7.0,1000,87.80843560675922
7.0,1100,92.16142514080947
7.0,1200,95.0254024810153
7.0,1300,97.07855768594402
7.0,1400,98.04828457663773
7.0,1500,98.46936505587622
7.0,1600,98.49807556675059
7.0,1700,98.63787640125787
7.0,1800,98.96966754829418
7.0,1900,99.03073733871807
7.0,2000,99.13640329936254
7.0,2100,99.07668967285602
7.0,2200,99.07604571984427
7.0,2300,99.13097281185068
7.0,2400,98.84711575687176
7.0,2500,99.24798885443337
7.0,2600,99.30329829648417
7.0,2700,99.215931248646
7.0,2800,99.26381540270434
7.0,2900,99.29366830758788
7.0,3000,99.28910191725538
7.0,3100,99.20733067729083
7.0,3200,99.34226663638432
7.0,3300,99.22997858672385
7.0,3400,99.21395775941228
7.0,3500,99.1028806584362
7.0,3600,99.55555555555554
7.0,3700,98.75719026548673
7.0,3800,99.34089681253374
7.0,3900,99.64959568733151
8.0,100,6.943303548456416
8.0,200,11.820148897711329
8.0,300,16.90612801115318
8.0,400,21.889365272042685
8.0,500,29.072977177142484
8.0,600,36.19749256348719
8.0,700,47.37245825079908
8.0,800,62.03595079641883
8.0,900,76.77200211325209
8.0,1000,87.69864492080296
8.0,1100,93.73888226547373
8.0,1200,96.61142410794037
8.0,1300,97.46204063495601
8.0,1400,97.29121233896751
8.0,1500,98.0640266751962
8.0,1600,98.84269622166252
8.0,1700,99.08195786880134
8.0,1800,99.16661086745441
8.0,1900,99.35241907621146
8.0,2000,99.4224962544655
8.0,2100,99.45892006239426
8.0,2200,99.39841926070032
8.0,2300,99.44205582151558
8.0,2400,99.54626403406891
8.0,2500,99.52734708552416
8.0,2600,99.36795940558164
8.0,2700,99.68650249151443
8.0,2800,99.57907113462674
8.0,2900,99.16754371074525
8.0,3000,98.9885637403297
8.0,3100,99.51187250996017
8.0,3200,99.77583465818762
8.0,3300,99.62269807280519
8.0,3400,99.14279155188241
8.0,3500,99.05486968449931
8.0,3600,99.33567251461986
8.0,3700,99.62499999999999
8.0,3800,99.9286871961102
8.0,3900,100.0
9.0,100,3.372618825173324
9.0,200,5.46593775027055
9.0,300,8.639311633471914
9.0,400,11.9826574457053
9.0,500,17.941442286087767
9.0,600,23.698432904538194
9.0,700,34.54243489199269
9.0,800,48.89124177842224
9.0,900,65.58353240294728
9.0,1000,79.06795660454729
9.0,1100,87.7020020141077
9.0,1200,93.47921748783138
9.0,1300,96.5358557638665
9.0,1400,97.17704634055718
9.0,1500,98.26632948735772
9.0,1600,99.45602015113371
9.0,1700,99.71888426484934
9.0,1800,99.86330309016009
9.0,1900,99.84549126130273
9.0,2000,99.93281087933585
9.0,2100,99.90290390820294
9.0,2200,99.84044260700384
9.0,2300,99.90467587992643
9.0,2400,99.93883081687962
9.0,2500,99.94350815693663
9.0,2600,99.88727799927504
9.0,2700,99.90293926482273
9.0,2800,99.87169312169314
9.0,2900,99.85791885927694
9.0,3000,99.79061553985879
9.0,3100,99.93705179282865
9.0,3200,99.92754939813764
9.0,3300,99.83276231263388
9.0,3400,99.84113865932046
9.0,3500,99.72085048010973
9.0,3600,99.8409356725146
9.0,3700,99.69524336283185
9.0,3800,99.71582928146945
9.0,3900,99.58490566037734
10.0,100,1.7884826891781251
10.0,200,2.500640060850423
10.0,300,4.237628997342507
10.0,400,5.710809613999129
10.0,500,9.251819100580517
10.0,600,12.61972140214905
10.0,700,20.034033989413015
10.0,800,28.14304576654084
10.0,900,41.861013851690906
10.0,1000,52.28421413869549
10.0,1100,62.36270540200023
10.0,1200,69.79251060885974
10.0,1300,74.67713858240924
10.0,1400,77.66712142829907
10.0,1500,84.97643961562572
10.0,1600,93.15657027707809
10.0,1700,96.90884853239527
10.0,1800,97.53523720245063
10.0,1900,98.32800791069462
10.0,2000,99.89706778182028
10.0,2100,99.91619479048673
10.0,2200,99.81215953307382
10.0,2300,99.87625327432022
10.0,2400,99.93294618660474
10.0,2500,99.96899015774561
10.0,2600,99.90453062703874
10.0,2700,99.92814328013291
10.0,2800,99.99941211052327
10.0,2900,100.0
10.0,3000,99.93928691557356
10.0,3100,99.99059760956173
10.0,3200,100.0
10.0,3300,99.99978586723773
10.0,3400,100.0
10.0,3500,100.0
10.0,3600,100.0
10.0,3700,100.0
10.0,3800,100.0
10.0,3900,100.0
11.0,100,1.1853813166383613
11.0,200,1.4027718409786503
11.0,300,2.5546271014140403
11.0,400,3.498436738026734
11.0,500,5.631283754048122
11.0,600,7.741725941196617
11.0,700,12.85950756851319
11.0,800,17.345283837700496
11.0,900,26.60722771912711
11.0,1000,33.582795859218244
11.0,1100,42.37148452482535
11.0,1200,54.490146251914375
11.0,1300,62.404400780932455
11.0,1400,64.60277960029605
11.0,1500,70.9608512385257
11.0,1600,82.04048362720417
11.0,1700,81.78350913537271
11.0,1800,80.92504770832613
11.0,1900,79.07512777440202
11.0,2000,77.26888819374692
11.0,2100,70.67405286437733
11.0,2200,72.6787208171205
11.0,2300,66.60301689097632
11.0,2400,64.25443283004255
11.0,2500,57.50406723293329
11.0,2600,56.820224719101105
11.0,2700,52.201198815627954
11.0,2800,51.71957671957674
11.0,2900,46.17212697334921
11.0,3000,45.57282206525399
11.0,3100,52.2345816733068
11.0,3200,65.20554167612988
11.0,3300,70.99614561027838
11.0,3400,67.90633608815423
11.0,3500,42.86694101508917
11.0,3600,86.60818713450291
11.0,3700,79.4800884955752
11.0,3800,100.0
11.0,3900,100.0
12.0,100,0.8779253556553468
12.0,200,0.9666222299681779
12.0,300,1.926235503989305
12.0,400,2.4894981181689806
12.0,500,3.7863328900373476
12.0,600,5.2457951676106545
12.0,700,8.676403959812488
12.0,800,11.175527276300993
12.0,900,17.851022271667773
12.0,1000,21.76358204273622
12.0,1100,28.231213168401535
12.0,1200,39.831034841370744
12.0,1300,50.4762612152673
12.0,1400,60.18045184560368
12.0,1500,67.96327148265053
12.0,1600,79.9081188916877
12.0,1700,81.46553932715099
12.0,1800,82.53799926345016
12.0,1900,85.011949438269
12.0,2000,86.19582146561504
12.0,2100,78.82251757516173
12.0,2200,76.68304961089484
12.0,2300,76.5306958118808
12.0,2400,73.34285714285703
12.0,2500,72.86688238730838
12.0,2600,75.04117433852846
12.0,2700,80.41965768758578
12.0,2800,77.67122281011171
12.0,2900,78.32150738414538
12.0,3000,65.67440295997315
12.0,3100,73.61274900398408
12.0,3200,95.51987281399047
12.0,3300,88.36959314775164
12.0,3400,85.89210284664827
12.0,3500,88.7517146776406
12.0,3600,97.32690058479531
12.0,3700,100.0
12.0,3800,100.0
12.0,3900,100.0
