COD_CUEN,SCA_MK_p_value,SCA_Sen,snowline_MK_p_value,snowline_Sen
BNA_010,0.63,-0.01,0.751,0.28
BNA_023,0.49,0.03,0.139,-4.382
BNA_024,0.63,0.07,0.369,-1.954
BNA_030,1,0.01,0.751,5.618
BNA_038,0.25,-0.12,0.369,11.545
BNA_043,0.04,-0.27,0.057,29.72
BNA_045,0.03,-0.19,0.065,22.5
BNA_047,0.01,-0.24,0.154,19.506
BNA_051,0.03,-0.09,0.065,21.391
BNA_052,0.01,-0.07,0.013,22.914
BNA_054,0,-0.34,0.017,14.644
BNA_057,0,-0.33,0.01,15.405
BNA_060,0,-0.24,0.013,8.472
BNA_071,0,-0.24,0.02,7.989
BNA_073,0.03,-0.13,0.561,3.029
BNA_081,0.75,0.01,0.245,-5.466
BNA_083,0.85,-0.01,0.369,-4.046
BNA_091,0.94,0,1,0.068
BNA_094,0.75,0.02,0.428,-3.557
BNA_101,0.92,0,0.833,-0.548
BNA_103,0.96,0,0.342,-2.94
BNA_104,0.43,0.02,0.126,-6.943
BNA_105,0.46,-0.05,0.428,-4.302
BNA_106,0.17,0.11,0.039,-5.688
BNA_107,0.83,-0.03,0.316,-3.474
BNA_108,0.43,0.08,0.139,-4.725
BNA_110,0.6,-0.07,0.224,-6.486
BNA_111,0.29,0.17,0.091,-8.304
BNA_112,0.02,0.07,0.057,-3.233
BNA_113,0.46,-0.07,0.369,-4.461
BNA_114,0.49,0.07,0.051,-4.675
BNA_115,1,-0.01,0.342,-3.565
BNA_116,1,0,0.154,-2.076
BNA_117,0.53,0.14,0.369,-2.609
BNA_118,0.46,-0.08,0.398,-0.75
BNA_119,0.67,0.03,0.635,-3.468
BNA_120,0.1,-0.14,0.398,-0.986
BNA_121,1,0,0.635,-0.386
BNA_122,0.48,-0.05,0.205,-3.775
BNA_123,0.2,-0.08,0.635,-0.178
BNA_124,0.6,0.06,0.224,-0.844
BNA_125,0.4,0.13,0.045,-2.121
BNA_126,0.19,0.1,0.205,-3.354
BNA_127,0.6,0.07,0.113,-0.748
BNA_128,0.43,0.07,0.316,-0.709
BNA_129,0.6,0.06,0.369,-0.301
