COD_CUEN,SCA_max_MK,SCA_max_sen,SCA_min_MK,SCA_min_sen,SCA_mean_MK,SCA_mean_sen,snowline_max_MK,snowline_max_sen,snowline_min_MK,snowline_min_sen,snowline_mean_MK,snowline_mean_sen
BNA_010,0.503,-0.04,0.551,-0.002,0.602,-0.012,0.503,2.4,0.5683,2.1,0.7,0.415991
BNA_023,1,0.01,0.005,0.009,0.901,0.006,0.4419,9.4,0.05005,15.4,0.1,6.969743
BNA_024,0.823,0.24,0.01,0.009,0.98,-0.007,0.4414,7.8,0.8425,1.1,0.6,2.429837
BNA_030,0.98,0.001,0.371,-0.006,0.637,-0.138,0.9407,-0.5,0.6374,3.5,0.7,1.412216
BNA_038,0.286,-0.31,0.263,-0.004,0.118,-0.177,0.07822,5.06,0.4719,10.8,0.04,10.38553
BNA_043,0.05,-0.59,0.019,-0.005,0.035,-0.353,0.1886,6.2,0.3853,17,0.006,22.61828
BNA_045,0.047,-0.3,0.515,0,0.016,-0.233,0.5515,10.1,0.1725,15,0.3,11.09824
BNA_047,0.157,-0.38,0.53,0,0.002,-0.292,0.8427,-1.94,0.05614,17.2,0.07,12.2
BNA_051,0.074,-0.36,0.858,0,0.016,-0.13,0.3853,-2.7,0.07018,15.6,0.1,10.54711
BNA_052,0.118,-0.3,0.691,0,0.002,-0.101,0.4419,-5.1,0.2862,7.9,0.6,0.7962183
BNA_054,0.137,-0.24,0,-0.04,0,-0.4,0.001,27.7,0.056,16.7,-0.000005647,28.9
BNA_057,0.092,-0.22,0,-0.07,0,-0.39,0.0001476,15.9,0.2437,5.9,-0.000001319,22.48426
BNA_060,0.137,-0.14,0,-0.12,0,-0.222,0.0001801,23.9,0.6733,3.1,-0.000002162,17.08885
BNA_071,0.173,-0.09,0,-0.03,0,-0.281,0.0006783,7.7,0.5352,3.9,-0.000004458,13.70207
BNA_073,0.673,-0.03,0,-0.01,0.009,-0.174,1,0.3,0.2643,-7,0.6024,-2.372627
BNA_081,0.078,0.24,0,-0.01,0.941,0.01,0.9604,-0.6,0.8622,-1.3,0.1574,-5.462676
BNA_083,0.385,0.2,0.001,-0.01,0.503,-0.068,0.03952,3.1,0.503,-3.8,0.2437,2.233397
BNA_091,0.568,0.04,0.022,-0.005,0.941,0.002,0.1574,5.5,0.02107,-4.4,0.785,-0.4076191
BNA_094,0.359,0.19,0.002,-0.18,0.673,0.021,0.01845,5.2,0.07822,-6.6,0.4419,0.9694809
BNA_101,0.078,0.22,0.017,-0.005,0.092,0.043,0.05876,6.3,0.05614,-6,0.4419,-1.560138
BNA_103,0.035,0.2,0.213,-0.002,0.063,0.042,0.2242,5,0.01613,-7.2,0.2862,-2.544664
BNA_104,0.008,0.37,0.747,-0.001,0.05,0.08,0.3717,3.1,0.01845,-4.4,0.4719,-2.526957
BNA_105,0.637,0.14,0.309,-0.03,0.535,0.083,0.4719,1.7,0.1433,-6.5,0.5352,-1.032306
BNA_106,0.005,0.62,0.082,-0.01,0.063,0.263,0.2242,-5.7,0.0006783,-6.6,0.007953,-4.866534
BNA_107,0.173,0.4,0.224,-0.02,0.413,0.159,0.2643,2.9,0.785,-1.6,0.7471,1.150956
BNA_108,0.087,0.46,0.029,0.03,0.157,0.223,0.035,-4.4,0.0009703,-4.7,0.2862,-1.987172
BNA_110,0.107,0.49,0.157,-0.02,0.535,0.099,0.8622,0.1,0.035,-5.1,0.6024,-1.480421
BNA_111,0.024,0.99,0.747,0.004,0.056,0.279,0.1574,-3.7,0.0003896,-4.5,0.08699,-4.355969
BNA_112,0.006,0.3,0.019,0.003,0.007,0.088,0.785,0.6,0.007953,-2.1,0.1725,-1.808947
BNA_113,0.637,0.26,0.253,-0.01,0.602,0.109,0.2862,2.2,0.785,3.1,0.6024,0.887352
BNA_114,0.07,0.37,0.766,0.003,0.143,0.126,1,0.04,0.0059,-1.6,0.5352,-0.7521286
BNA_115,0.087,0.66,0.457,-0.03,0.941,-0.002,0.9013,0.37,0.1123,-7.2,0.9013,0.3220078
BNA_116,0.056,0.73,0.137,0.03,0.359,0.198,0.2242,-1.6,0.05005,-2.1,0.3334,-2.317289
BNA_117,0.031,0.67,0.197,0.11,0.087,0.288,0.04452,8.2,0.2242,-11.6,0.3334,1.654539
BNA_118,0.143,0.14,0.602,-0.02,0.157,0.115,0.05614,-1.9,0.1433,-0.8,0.09653,-1.025222
BNA_119,0.286,0.23,0.747,0.02,0.063,0.222,0.05005,-9.3,0.5352,-2.1,0.07822,-5.545083
BNA_120,0.333,0.1,0.747,0.04,0.244,0.09,0.503,0.9,0.09653,-1,0.2242,-1.026754
BNA_121,0.244,0.26,0.487,0.008,0.309,0.071,0.9407,-0.2,0.1303,-0.7,0.1886,-0.5439135
BNA_122,0.673,0.09,0.102,0.1,0.13,0.134,0.03093,-5.1,0.07018,-0.8,0.02107,-1.434085
BNA_123,0.747,0.04,0.224,0.01,0.637,0.022,0.4719,1,0.2437,-0.2,0.9407,0.05435638
BNA_124,0.07,0.38,0.101,0.01,0.045,0.143,0.06284,-2.6,0.2242,-0.8,0.1181,-1.340981
BNA_125,0.118,0.62,0.172,0.004,0.056,0.168,0.9802,-0.1,0.1069,-1.6,0.04452,-1.660709
BNA_126,0.021,0.84,0.001,0.11,0.024,0.27,0.2862,-2.7,0.006858,-2.9,0.3853,-1.467513
BNA_127,0.13,0.22,0.487,0.008,0.05,0.113,0.1725,0.8,0.06284,-0.4,0.9407,-0.1165865
BNA_128,0.333,0.26,0.082,0.03,0.05,0.162,0.785,-0.1,0.1725,-0.7,0.8622,-0.1663259
BNA_129,0.309,0.12,0.551,0.009,0.535,0.032,0.6374,0.2,0.503,-0.2,0.413,-0.372782
