Codigo_BNA,Cob_Permanente,Cob_Estacional,Cob_Intermintente,Area_Intermitente,Area_Estacional,Area_Permanente,Cambio_Cobertura_De_Nieve,Cambio_Area_De_Nieve,Cambio_Linea_De_Nieve,Anomalias_Cobertura_Maxima_2023
10,0.03,0.75,2.01,229,85,4,-0.215,-3.42,-6,-61
23,0,0.98,15.58,632,40,0,0.728,16.61,101,-79
24,0,2.89,46.89,2488,154,0,1.707,9.74,45,-78
30,0.06,3.75,67.71,10575,585,9,0.184,-17.12,-129,-90
38,0.02,3.81,34.51,3386,374,2,-2.729,-665.49,-266,-80
43,0,6.05,31.63,3108,594,0,-6.111,-4510.49,-684,-76
45,0,6.44,19.06,2229,753,0,-4.447,-4500.86,-518,-74
47,0,14.12,15.83,1212,1081,0,-5.439,-3387.24,-449,-40
51,0,1.44,13.1,260,29,0,-2.162,-341.84,-492,-77
52,0,2.39,8.73,173,47,0,-1.645,-292.1,-527,-64
54,0.46,24.85,14.73,1080,1822,34,-7.869,-4756.38,-337,-20
57,1.37,23.43,13.39,2044,3579,209,-7.697,-9495.38,-354,-14
60,1.26,17.27,9.25,1273,2377,173,-5.54,-5991.51,-195,-13
71,0.17,22.72,12.35,782,1438,11,-5.417,-2373.44,-184,-17
73,0.02,17.38,12.28,2586,3659,4,-3.089,-3172.92,-70,-14
81,0.01,4.2,12.49,1415,476,1,0.238,-417.84,126,-2
83,0.14,6.39,26.22,6389,1558,33,-0.261,-605.65,93,-11
91,0.03,1.04,3.84,487,131,4,-0.021,-179.43,-2,7
94,0.26,2.64,16.15,1365,223,22,0.35,-230.4,82,5
101,0.24,0.59,4.82,493,61,25,0.019,-72.24,13,63
103,0.06,0.33,9.39,1443,51,9,0.035,9.39,68,47
104,0.36,0.51,15.25,2060,68,48,0.388,57.92,160,36
105,1.49,7,57.37,1775,217,46,-1.056,-285.93,99,6
106,0.95,6.52,48.52,3032,407,59,2.565,208.68,131,18
107,0.42,14.64,62.22,2541,598,17,-0.59,-468.61,80,15
108,0.42,4.96,52.39,1419,134,11,1.94,99.85,109,23
110,0.21,10.75,66.89,5172,831,16,-1.627,-1729.88,149,17
111,0.29,4.19,61.31,10544,721,50,3.8,681.4,191,35
112,0,0,15.31,3716,0,0,1.541,752.28,74,46
113,0.03,3.97,72.68,8325,455,3,-1.566,-2085.05,103,24
114,8.7,11.27,43.45,15273,3960,3058,1.533,425.15,108,16
115,7.81,23.86,44.5,9320,4998,1636,-0.122,-2962.59,82,16
116,1.82,32.18,47.51,2153,1458,83,0.003,-432.46,48,25
117,28.35,26.87,41.22,3129,2039,2152,3.252,-76.94,60,19
118,9.67,19.13,43.33,7173,3167,1602,-1.799,-561.5,17,16
119,1.57,28.98,65.3,178,79,4,0.759,-6.11,80,20
120,30.66,21.91,31.56,4403,3056,4277,-3.22,-545.67,23,12
121,0,4.94,60.7,12048,981,0,0,210.13,9,40
122,13.33,19.91,41.58,7413,3550,2376,-1.073,-503.85,87,8
123,0,11.51,46.01,11449,2865,0,-1.88,34.63,4,25
124,0.66,14.42,56.7,11717,2980,136,1.265,832.77,19,24
125,0,9.36,43.02,7641,1663,0,2.949,1177.82,49,32
126,20.74,3.65,32.86,3067,341,1936,2.297,588.82,77,46
127,1.3,16.89,41.48,11586,4716,364,1.584,823.07,17,8
128,6.28,12.81,31.61,13346,5407,2651,1.552,1302.81,16,-1
129,0.49,14.63,58.3,20530,5152,172,1.337,644.77,7,3
