Question,1,2,3
10,2.3,0.3,0.6
23,6.3,0.9,1.6
24,14.5,2.2,3.6
30,21.9,3.3,5.5
38,13.8,2.1,3.4
43,15.1,2.3,3.8
45,11.5,1.7,2.9
47,15.9,2.4,4
51,5.4,0.8,1.3
52,4.6,0.7,1.2
54,28,4.2,7
57,29.7,4.5,7.4
60,23.5,3.5,5.9
71,25.8,3.9,6.4
73,19.1,2.9,4.8
81,7.5,1.1,1.9
83,14,2.1,3.5
91,3,0.4,0.7
94,9.2,1.4,2.3
101,4.1,0.6,1
103,4.5,0.7,1.1
104,7.2,1.1,1.8
105,27.2,4.1,6.8
106,24.1,3.6,6
107,35.4,5.3,8.8
108,23,3.4,5.7
110,33.4,5,8.3
111,23.7,3.6,5.9
112,6.7,1,1.7
113,24.9,3.7,6.2
114,43.3,6.5,10.8
115,56.2,8.4,14
116,51.8,7.8,13
117,70,5,15
118,53,8,13.3
119,58.3,8.8,14.6
120,50,14.6,24.3
121,23.8,3.6,6
122,61.9,9.3,15.5
123,25.8,3.9,6.5
124,34.6,5.2,8.7
125,23.9,3.6,6
126,54.8,8.2,13.7
127,33.9,5.1,8.5
128,38.8,5.8,9.7
129,35,5.3,8.8
