Question,1,2,3,4,5
010,3.47,0,0,0,0.00
023,-0.00,0,0,0,16.61
024,-0.00,0,0,0,9.76
030,17.10,0,0,0,0.00
038,662.59,0,0,0,0.00
043,4502.28,0,0,0,0.00
045,4497.10,0,0,0,0.00
047,3382.61,0,0,0,0.00
051,342.00,0,0,0,0.00
052,292.52,0,0,0,0.00
054,4759.26,0,0,0,0.00
057,9486.47,0,0,0,0.00
060,5984.53,0,0,0,0.00
071,2369.03,0,0,0,0.00
073,3169.69,0,0,0,0.00
081,416.71,0,0,0,0.00
083,606.17,0,0,0,0.00
091,179.06,0,0,0,0.00
094,230.55,0,0,0,0.00
101,72.41,0,0,0,0.00
103,-0.00,0,0,0,9.12
104,-0.00,0,0,0,57.39
105,284.28,0,0,0,0.00
106,-0.00,0,0,0,208.05
107,466.71,0,0,0,0.00
108,-0.00,0,0,0,99.79
110,1731.76,0,0,0,0.00
111,-0.00,0,0,0,681.09
112,-0.00,0,0,0,745.68
113,2076.52,0,0,0,0.00
114,-0.00,0,0,0,444.32
115,2934.53,0,0,0,0.00
116,432.15,0,0,0,0.00
117,77.10,0,0,0,0.00
118,556.82,0,0,0,0.00
119,6.09,0,0,0,0.00
120,540.22,0,0,0,0.00
121,-0.00,0,0,0,209.01
122,497.15,0,0,0,0.00
123,-0.00,0,0,0,36.25
124,-0.00,0,0,0,830.27
125,-0.00,0,0,0,1169.51
126,-0.00,0,0,0,571.44
127,-0.00,0,0,0,815.25
128,-0.00,0,0,0,1292.00
129,-0.00,0,0,0,650.21
