Question,1,2,3,4,5
10,0.215,0,0,0,0
23,0,0,0,0,0.728
24,0,0,0,0,1.707
30,0,0,0,0,0.184
38,2.729,0,0,0,0
43,6.111,0,0,0,0
45,4.447,0,0,0,0
47,5.439,0,0,0,0
51,2.162,0,0,0,0
52,1.645,0,0,0,0
54,7.869,0,0,0,0
57,7.697,0,0,0,0
60,5.54,0,0,0,0
71,5.417,0,0,0,0
73,3.089,0,0,0,0
81,0,0,0,0,0.238
83,0.261,0,0,0,0
91,0.021,0,0,0,0
94,0,0,0,0,0.35
101,0,0,0,0,0.019
103,0,0,0,0,0.035
104,0,0,0,0,0.388
105,1.056,0,0,0,0
106,0,0,0,0,2.565
107,0.59,0,0,0,0
108,0,0,0,0,1.94
110,1.627,0,0,0,0
111,0,0,0,0,3.8
112,0,0,0,0,1.541
113,1.566,0,0,0,0
114,0,0,0,0,1.533
115,0.122,0,0,0,0
116,0,0,0,0,0.003
117,0,0,0,0,3.252
118,1.799,0,0,0,0
119,0,0,0,0,0.759
120,3.22,0,0,0,0
121,0,0,0,0,0
122,1.073,0,0,0,0
123,1.88,0,0,0,0
124,0,0,0,0,1.265
125,0,0,0,0,2.949
126,0,0,0,0,2.297
127,0,0,0,0,1.584
128,0,0,0,0,1.552
129,0,0,0,0,1.337
