Question,1,2,3,4,5
10,6,0,0,0,0
23,0,0,0,0,101
24,0,0,0,0,45
30,129,0,0,0,0
38,266,0,0,0,0
43,684,0,0,0,0
45,518,0,0,0,0
47,449,0,0,0,0
51,492,0,0,0,0
52,527,0,0,0,0
54,337,0,0,0,0
57,354,0,0,0,0
60,195,0,0,0,0
71,184,0,0,0,0
73,70,0,0,0,0
81,0,0,0,0,126
83,0,0,0,0,93
91,2,0,0,0,0
94,0,0,0,0,82
101,0,0,0,0,13
103,0,0,0,0,68
104,0,0,0,0,160
105,0,0,0,0,99
106,0,0,0,0,131
107,0,0,0,0,80
108,0,0,0,0,109
110,0,0,0,0,149
111,0,0,0,0,191
112,0,0,0,0,74
113,0,0,0,0,103
114,0,0,0,0,108
115,0,0,0,0,82
116,0,0,0,0,48
117,0,0,0,0,60
118,0,0,0,0,17
119,0,0,0,0,80
120,0,0,0,0,23
121,0,0,0,0,9
122,0,0,0,0,87
123,0,0,0,0,4
124,0,0,0,0,19
125,0,0,0,0,49
126,0,0,0,0,77
127,0,0,0,0,17
128,0,0,0,0,16
129,0,0,0,0,7
