Year,SCA
2000,19.23131176648249
2001,14.781883038831557
2002,18.82674828396763
2003,14.882328087357605
2004,13.700202610261305
2005,18.86006464232317
2006,16.45941481769619
2007,16.562705224587255
2008,17.72664526031144
2009,14.051235322610061
2010,11.747070210377053
2011,12.831896084372227
2012,12.554687297064541
2013,13.180770865755862
2014,11.591516804497374
2015,11.450085238210997
2016,17.143043088994737
2017,13.22801293491349
2018,11.596333268840706
2019,6.302214885884411
2020,10.48413986009816
2021,9.488571415781786
2022,12.540235388016377
