group,variable,value
2000.0,100,0.3079831558095722
2000.0,200,0.20800876788247222
2000.0,300,0.30843345807891354
2000.0,400,0.5183370064339914
2000.0,500,0.7883881426785433
2000.0,600,0.9604834992850076
2000.0,700,1.0054089546613658
2000.0,800,1.1318544922618523
2000.0,900,1.526758325309265
2000.0,1000,2.468869625763669
2000.0,1100,3.9183518288255628
2000.0,1200,5.956595604428557
2000.0,1300,8.413504015800585
2000.0,1400,12.64761789730262
2000.0,1500,18.006423790363208
2000.0,1600,22.420711889966444
2000.0,1700,29.200593507134027
2000.0,1800,40.80251398515673
2000.0,1900,51.22926040139526
2000.0,2000,60.54747997832242
2000.0,2100,62.739472374315596
2000.0,2200,81.66068601583113
2001.0,100,0.15994871422991103
2001.0,200,0.1832678159371531
2001.0,300,0.18568024060671037
2001.0,400,0.3248393864709642
2001.0,500,0.4812930260401119
2001.0,600,0.5450366968772546
2001.0,700,0.6544864584744277
2001.0,800,0.7752428029190791
2001.0,900,0.9196539912550765
2001.0,1000,1.3972548774100835
2001.0,1100,2.190470848174922
2001.0,1200,3.083106863024175
2001.0,1300,4.312708910052025
2001.0,1400,6.641855943227928
2001.0,1500,10.266505572461039
2001.0,1600,17.09357531005431
2001.0,1700,26.525602435249922
2001.0,1800,36.398760837103524
2001.0,1900,49.23648956068953
2001.0,2000,67.93984464382491
2001.0,2100,70.18287705326033
2001.0,2200,79.51240105540899
2002.0,100,0.4754843740700514
2002.0,200,0.42252544659541447
2002.0,300,0.4774378821468466
2002.0,400,0.7558192588870029
2002.0,500,1.2212370877126189
2002.0,600,1.7324629863502456
2002.0,700,2.142713075124703
2002.0,800,2.668859506019778
2002.0,900,3.353505337984667
2002.0,1000,4.518789690749999
2002.0,1100,5.826348051818567
2002.0,1200,7.191761674332225
2002.0,1300,9.10407988527786
2002.0,1400,13.091947718682045
2002.0,1500,17.09002568971292
2002.0,1600,19.204262573961685
2002.0,1700,24.44219682669252
2002.0,1800,36.12906461030998
