Question,1,2,3,4,5
5800,1,30,0,0,0
5700,3,20,0,0,0
5600,40,70,0,0,0
5500,50,100,0,0,0
5400,70,400,0,0,0
5300,10,300,0,0,0
5200,29,100,0,0,0
5100,50,150,0,0,0
5000,30,300,0,0,0
4900,20,200,0,0,0
4800,10,100,0,0,0
4700,20,200,0,0,0
4600,30,300,0,0,0
4500,15,150,0,0,0
4400,5,50,0,0,0
4300,5,50,0,0,0
4200,0,20,0,0,0
4100,0,30,0,0,0
4000,0,50,0,0,0
3900,0,30,0,0,0
3800,0,20,0,0,0
3700,0,15,0,0,0
3600,0,30,0,0,0
3500,0,40,0,0,0
3400,0,50,0,0,0
3300,0,30,0,9.7,2
3200,0,20,0,0,0
3100,0,50,0,0,0
3000,0,70,0,0,0
2900,0,30,0,0,0
2800,0,50,0,0,0
2700,0,0,0,0,0
2600,0,20,0,0,0
2500,0,10,0,0,0
2400,0,0,0,0,0
2300,0,0,0,0,0
2200,0,0,0,0,0
2100,0,0,0,0,0
2000,0,0,0,0,0
1900,0,0,0,0,0
1800,0,0,0,0,0
1700,0,0,0,0,0
1600,0,0,0,0,0
1500,0,0,0,0,0
1400,0,0,0,0,0
1300,0,0,0,0,0
1200,0,0,0,0,0
1100,0,0,0,0,0
1000,0,0,0,0,0
900,0,0,0,0,0
800,0,0,0,0,0
700,0,0,0,0,0
600,0,0,0,0,0
500,0,0,0,0,0
400,0,0,0,0,0
300,0,0,0,0,0
200,0,0,0,0,0
100,0,0,0,0,0
0,0,0,0,0,0
