group,variable,value
trend,100,0.11094281249319199
trend,200,0.36266464561987793
trend,300,0.31336274917257406
trend,400,0.24323951489376605
trend,500,0.04487560556876065
trend,600,-0.06236520034785782
trend,700,-0.34537209515377937
trend,800,-0.6340134593804567
trend,900,-0.9110717569406084
trend,1000,-1.3723727226839664
trend,1100,-1.5166710512564663
trend,1200,-1.521540404826334
trend,1300,-1.18995909773399
trend,1400,-1.2361917201526564
trend,1500,-0.6748834172947246
trend,1600,-0.46450408652368985
trend,1700,-0.5675661559888576
trend,1800,-0.19469754442004408
trend,1900,-0.2932972226181728
trend,2000,-0.23355853395952594
trend,2100,-0.09659573627328931
trend,2200,-0.11067112368218039
trend,2300,-0.1877154497022875
trend,2400,-0.01993151919264731
trend,2500,-0.04620502710694921
trend,2600,-0.010457334076965983
trend,2700,0.0016201203517975616
trend,2800,0.0
trend,2900,-0.058749804167319467
trend,3000,0.0
trend,3100,-0.02376176515969757
trend,3200,0.0
trend,3300,0.0
trend,3400,0.0
trend,3500,0.0
trend,3600,0.0
trend,3700,0.0
trend,3800,0.0
trend,3900,0.0
