Year,Month,SCA
2000,1,0
2000,2,0.13
2000,3,0.35
2000,4,0.09
2000,5,0.88
2000,6,2.65
2000,7,4.16
2000,8,3.47
2000,9,3.66
2000,10,2.11
2000,11,1.43
2000,12,0.84
2001,1,0.50
2001,2,0.26
2001,3,0.15
2001,4,0.59
2001,5,1.01
2001,6,1.81
2001,7,4.63
2001,8,2.87
2001,9,2.35
2001,10,1.23
2001,11,0.79
2001,12,0.47
2002,1,0.23
2002,2,0.12
2002,3,0.18
2002,4,0.27
2002,5,1.96
2002,6,5.84
2002,7,4.97
2002,8,3.85
2002,9,3.12
2002,10,2.35
2002,11,1.61
2002,12,0.96
2003,1,0.61
2003,2,0.43
2003,3,0.28
2003,4,0.40
2003,5,0.79
2003,6,2.79
2003,7,5.07
2003,8,3.54
2003,9,2.52
2003,10,1.39
2003,11,0.71
2003,12,0.63
2004,1,0.36
2004,2,0.24
2004,3,0.15
2004,4,0.59
2004,5,0.45
2004,6,3.47
2004,7,4.94
2004,8,3.02
2004,9,3.28
2004,10,1.46
2004,11,1.02
2004,12,0.64
2005,1,0.43
2005,2,0.25
2005,3,0.19
2005,4,0.40
2005,5,3.73
2005,6,8.90
2005,7,4.63
2005,8,5.83
2005,9,3.26
2005,10,2.05
2005,11,0.92
2005,12,0.81
2006,1,0.48
2006,2,0.35
2006,3,0.28
2006,4,0.31
2006,5,0.64
2006,6,3.68
2006,7,7.28
2006,8,5.00
2006,9,3.35
2006,10,2.45
2006,11,1.07
2006,12,0.73
2007,1,0.41
2007,2,0.34
2007,3,0.21
2007,4,0.64
2007,5,0.97
2007,6,8.77
2007,7,12.89
2007,8,11.93
2007,9,5.90
2007,10,3.18
2007,11,1.11
2007,12,0.75
2008,1,0.31
2008,2,0.08
2008,3,0.08
2008,4,0.44
2008,5,0.94
2008,6,4.35
2008,7,3.99
2008,8,7.63
2008,9,3.27
2008,10,1.82
2008,11,0.98
2008,12,0.50
2009,1,0.24
2009,2,0.14
2009,3,0.06
2009,4,0.18
2009,5,1.03
2009,6,2.68
2009,7,4.34
2009,8,3.94
2009,9,2.50
2009,10,2.15
2009,11,1.16
2009,12,0.79
2010,1,0.45
2010,2,0.27
2010,3,0.18
2010,4,0.33
2010,5,1.24
2010,6,4.05
2010,7,9.22
2010,8,7.38
2010,9,4.07
2010,10,2.67
2010,11,1.32
2010,12,0.82
2011,1,0.40
2011,2,0.21
2011,3,0.29
2011,4,0.64
2011,5,1.19
2011,6,3.78
2011,7,7.90
2011,8,9.07
2011,9,5.21
2011,10,2.65
2011,11,1.37
2011,12,0.76
2012,1,0.34
2012,2,0.16
2012,3,0.10
2012,4,0.14
2012,5,0.78
2012,6,3.51
2012,7,5.67
2012,8,3.05
2012,9,1.90
2012,10,0.89
2012,11,0.64
2012,12,0.56
2013,1,0.23
2013,2,0.14
2013,3,0.11
2013,4,0.35
2013,5,0.97
2013,6,3.26
2013,7,3.46
2013,8,4.45
2013,9,3.16
2013,10,1.54
2013,11,0.90
2013,12,0.54
2014,1,0.29
2014,2,0.16
2014,3,0.11
2014,4,0.47
2014,5,1.12
2014,6,7.07
2014,7,6.39
2014,8,4.21
2014,9,2.75
2014,10,1.68
2014,11,0.96
2014,12,0.56
2015,1,0.34
2015,2,0.17
2015,3,0.16
2015,4,0.19
2015,5,1.03
2015,6,4.90
2015,7,8.30
2015,8,4.96
2015,9,3.12
2015,10,2.11
2015,11,1.07
2015,12,0.61
2016,1,0.34
2016,2,0.19
2016,3,0.13
2016,4,0.53
2016,5,0.59
2016,6,1.31
2016,7,3.26
2016,8,3.43
2016,9,1.73
2016,10,0.85
2016,11,0.55
2016,12,0.31
2017,1,0.17
2017,2,0.10
2017,3,0.25
2017,4,0.40
2017,5,1.46
2017,6,5.97
2017,7,5.37
2017,8,5.10
2017,9,4.05
2017,10,2.56
2017,11,1.29
2017,12,0.80
2018,1,0.36
2018,2,0.21
2018,3,0.29
2018,4,0.62
2018,5,1.26
2018,6,5.80
2018,7,4.22
2018,8,3.70
2018,9,2.22
2018,10,2.42
2018,11,0.94
2018,12,0.66
2019,1,0.44
2019,2,0.22
2019,3,0.12
2019,4,0.21
2019,5,0.84
2019,6,4.74
2019,7,6.68
2019,8,4.95
2019,9,3.20
2019,10,2.26
2019,11,1.11
2019,12,0.67
2020,1,0.37
2020,2,0.23
2020,3,0.09
2020,4,0.14
2020,5,0.83
2020,6,3.43
2020,7,7.21
2020,8,5.32
2020,9,3.17
2020,10,2.22
2020,11,1.11
2020,12,0.65
2021,1,0.39
2021,2,0.16
2021,3,0.09
2021,4,0.13
2021,5,0.89
2021,6,2.59
2021,7,3.54
2021,8,2.56
2021,9,2.34
2021,10,1.51
2021,11,0.67
2021,12,0.26
2022,1,0.13
2022,2,0.06
2022,3,0.27
2022,4,1.06
2022,5,1.91
2022,6,3.31
2022,7,8.56
2022,8,4.68
2022,9,3.45
2022,10,1.98
2022,11,1.02
2022,12,0.52
2023,1,0.26
2023,2,0.11
2023,3,0.05
2023,4,0.23
2023,5,1.23
2023,6,4.50
2023,7,6.61
2023,8,2.94
2023,9,3.16
2023,10,1.90
2023,11,1.18
2023,12,0.75
