Year,Month,SCA,CCA
2000,1,0,
2000,2,0.27,63.01
2000,3,1.10,58.00
2000,4,5.71,60.29
2000,5,11.21,55.06
2000,6,29.84,54.83
2000,7,28.04,56.79
2000,8,5.52,63.84
2000,9,8.40,60.26
2000,10,3.20,59.86
2000,11,0.55,62.37
2000,12,0.51,62.80
2001,1,0.33,61.63
2001,2,1.00,59.85
2001,3,3.01,60.78
2001,4,4.93,60.28
2001,5,10.76,50.88
2001,6,26.71,57.16
2001,7,30.33,57.29
2001,8,17.04,57.57
2001,9,5.24,58.69
2001,10,1.88,58.97
2001,11,0.77,61.47
2001,12,0.33,59.22
2002,1,0.79,60.60
2002,2,0.95,57.18
2002,3,1.26,53.05
2002,4,5.25,60.10
2002,5,29.50,57.60
2002,6,22.77,60.40
2002,7,33.80,45.17
2002,8,14.21,49.49
2002,9,11.09,46.16
2002,10,4.81,46.61
2002,11,2.20,48.17
2002,12,1.16,50.97
2003,1,1.70,50.36
2003,2,2.00,46.55
2003,3,2.72,42.29
2003,4,5.52,39.61
2003,5,20.04,45.59
2003,6,37.02,40.39
2003,7,28.47,48.24
2003,8,21.57,43.90
2003,9,11.87,45.23
2003,10,4.98,48.13
2003,11,1.74,50.63
2003,12,1.21,50.66
2004,1,2.00,49.07
2004,2,1.25,44.12
2004,3,3.30,42.35
2004,4,10.18,45.40
2004,5,17.77,39.69
2004,6,27.61,42.59
2004,7,36.35,47.76
2004,8,20.77,49.54
2004,9,9.11,53.06
2004,10,3.43,46.33
2004,11,1.57,42.25
2004,12,1.28,47.15
2005,1,1.42,48.96
2005,2,1.11,37.65
2005,3,3.83,46.36
2005,4,7.96,50.75
2005,5,26.80,46.51
2005,6,41.83,44.92
2005,7,36.25,44.16
2005,8,24.82,46.81
2005,9,8.11,45.09
2005,10,3.14,38.01
2005,11,1.35,42.48
2005,12,1.09,48.19
2006,1,1.01,45.28
2006,2,1.82,41.50
2006,3,4.49,47.70
2006,4,12.84,49.15
2006,5,17.74,44.25
2006,6,36.38,36.03
2006,7,35.92,41.44
2006,8,20.18,47.31
2006,9,8.10,51.61
2006,10,4.03,44.53
2006,11,2.20,47.12
2006,12,1.24,47.81
2007,1,1.02,48.24
2007,2,1.87,48.67
2007,3,2.85,46.71
2007,4,13.78,46.68
2007,5,30.07,45.09
2007,6,31.73,45.11
2007,7,41.94,40.14
2007,8,31.24,48.91
2007,9,8.82,43.33
2007,10,4.86,52.63
2007,11,2.34,48.59
2007,12,1.14,50.19
2008,1,0.83,46.46
2008,2,1.03,43.91
2008,3,3.06,50.59
2008,4,15.34,49.71
2008,5,29.27,42.12
2008,6,35.03,39.04
2008,7,39.17,43.27
2008,8,40.86,41.91
2008,9,12.62,45.80
2008,10,3.75,50.42
2008,11,1.63,49.47
2008,12,1.16,50.57
2009,1,1.38,50.16
2009,2,1.13,50.50
2009,3,4.63,45.77
2009,4,8.60,51.13
2009,5,31.97,47.98
2009,6,31.31,48.03
2009,7,38.34,43.10
2009,8,22.04,47.17
2009,9,9.52,52.33
2009,10,5.73,52.44
2009,11,2.79,53.41
2009,12,2.13,46.32
2010,1,1.89,51.41
2010,2,1.82,47.22
2010,3,2.56,48.24
2010,4,8.65,44.40
2010,5,21.24,46.50
2010,6,37.60,43.44
2010,7,42.28,40.95
2010,8,24.58,44.55
2010,9,10.43,50.74
2010,10,4.34,49.12
2010,11,3.00,46.47
2010,12,1.86,50.78
2011,1,1.15,44.95
2011,2,1.52,44.78
2011,3,5.47,45.13
2011,4,16.49,49.40
2011,5,27.95,48.89
2011,6,34.91,39.53
2011,7,42.08,43.45
2011,8,32.03,37.99
2011,9,11.83,47.94
2011,10,4.13,49.81
2011,11,1.69,49.84
2011,12,1.21,47.61
2012,1,1.27,49.10
2012,2,1.96,42.56
2012,3,2.46,48.83
2012,4,13.15,42.34
2012,5,29.45,43.50
2012,6,37.39,47.50
2012,7,37.79,50.19
2012,8,26.31,50.26
2012,9,7.43,48.66
2012,10,6.10,52.67
2012,11,2.12,51.51
2012,12,0.86,47.51
2013,1,1.14,51.93
2013,2,1.54,42.56
2013,3,2.83,39.91
2013,4,7.74,40.83
2013,5,27.61,44.66
2013,6,37.19,44.03
2013,7,30.57,47.29
2013,8,24.19,51.40
2013,9,12.31,47.73
2013,10,3.54,51.86
2013,11,2.54,52.36
2013,12,1.90,50.14
2014,1,1.75,51.77
2014,2,1.78,51.30
2014,3,3.47,52.16
2014,4,10.77,44.89
2014,5,25.42,41.30
2014,6,33.13,39.18
2014,7,35.21,40.06
2014,8,24.98,47.01
2014,9,5.60,45.95
2014,10,4.13,45.54
2014,11,2.34,51.92
2014,12,1.05,45.25
2015,1,1.37,46.40
2015,2,1.34,52.95
2015,3,3.19,47.61
2015,4,7.39,40.55
2015,5,24.97,46.55
2015,6,34.18,46.38
2015,7,38.58,45.85
2015,8,33.43,46.12
2015,9,8.52,51.43
2015,10,3.71,46.31
2015,11,2.35,50.80
2015,12,1.47,47.12
2016,1,1.09,45.90
2016,2,1.72,50.24
2016,3,3.45,47.85
2016,4,11.86,47.50
2016,5,15.47,25.62
2016,6,21.19,44.29
2016,7,29.50,36.08
2016,8,20.64,41.71
2016,9,5.50,43.10
2016,10,2.95,43.51
2016,11,1.11,46.82
2016,12,0.95,45.98
2017,1,1.38,49.34
2017,2,1.54,45.77
2017,3,2.13,33.91
2017,4,9.38,41.66
2017,5,21.17,38.30
2017,6,37.06,43.39
2017,7,31.10,47.45
2017,8,21.53,48.84
2017,9,11.98,49.79
2017,10,4.79,48.17
2017,11,1.59,41.26
2017,12,1.11,48.40
2018,1,1.76,49.65
2018,2,1.42,49.32
2018,3,4.99,47.52
2018,4,13.52,47.78
2018,5,25.00,40.54
2018,6,36.90,35.48
2018,7,40.08,44.35
2018,8,23.42,48.73
2018,9,12.83,44.35
2018,10,4.20,41.59
2018,11,1.42,50.20
2018,12,0.96,48.86
2019,1,1.71,49.37
2019,2,0.91,46.77
2019,3,2.01,48.46
2019,4,8.15,45.82
2019,5,23.96,40.98
2019,6,34.96,42.01
2019,7,31.51,43.56
2019,8,24.52,47.82
2019,9,10.26,51.40
2019,10,4.38,47.30
2019,11,2.00,47.25
2019,12,1.20,48.43
2020,1,1.11,49.57
2020,2,1.23,41.63
2020,3,2.65,42.73
2020,4,8.22,40.02
2020,5,17.62,42.90
2020,6,42.74,35.90
2020,7,48.68,30.02
2020,8,38.83,48.61
2020,9,9.55,51.52
2020,10,2.32,50.98
2020,11,1.39,46.88
2020,12,0.80,48.76
2021,1,1.25,48.41
2021,2,1.19,44.92
2021,3,3.27,46.53
2021,4,6.84,44.68
2021,5,14.50,43.70
2021,6,32.43,46.40
2021,7,35.25,46.42
2021,8,15.51,49.15
2021,9,10.15,49.03
2021,10,3.99,44.46
2021,11,1.35,48.99
2021,12,1.43,45.96
2022,1,1.05,41.61
2022,2,1.42,40.52
2022,3,3.79,48.47
2022,4,10.14,53.39
2022,5,21.19,45.06
2022,6,35.34,43.66
2022,7,45.49,41.56
2022,8,24.20,47.51
2022,9,12.83,46.72
2022,10,5.39,50.93
2022,11,1.69,44.68
2022,12,1.26,47.74
2023,1,1.13,49.03
2023,2,2.49,49.28
2023,3,8.31,49.73
2023,4,10.51,50.05
2023,5,24.55,47.59
2023,6,29.54,43.16
2023,7,41.13,37.72
2023,8,28.11,48.40
2023,9,16.94,47.64
2023,10,4.72,51.56
2023,11,3.33,48.03
2023,12,1.36,49.81
2024,1,0.95,47.84
2024,2,2.01,45.78
2024,3,7.49,44.11
2024,4,20.40,48.25
