Year,SCA,CCA
2000-02-01,1.22,57.67
2000-03-01,1.50,13.52
2000-04-01,0.84,17.22
2000-05-01,0.65,3.88
2000-06-01,0.60,4.18
2000-07-01,1.62,7.99
2000-08-01,0.46,5.70
2000-09-01,0.37,3.98
2000-10-01,0.58,7.95
2000-11-01,0.13,1.92
2000-12-01,0.36,11.45
2001-01-01,1.90,41.44
2001-02-01,2.41,38.99
2001-03-01,2.74,24.32
2001-04-01,2.03,2.55
2001-05-01,1.86,5.92
2001-06-01,1.68,0.22
2001-07-01,1.56,0.34
2001-08-01,2.39,4.32
2001-09-01,1.23,0.70
2001-10-01,1.00,3.06
2001-11-01,0.59,1.33
2001-12-01,0.68,12.06
2002-01-01,0.38,2.25
2002-02-01,1.64,27.48
2002-03-01,1.78,18.04
2002-04-01,0.89,11.64
2002-05-01,0.98,0.58
2002-06-01,0.73,4.71
2002-07-01,7.98,8.23
2002-08-01,0.82,0.21
2002-09-01,0.63,1.20
2002-10-01,0.76,2.64
2002-11-01,0.57,4.24
2002-12-01,0.40,3.98
2003-01-01,1.06,9.50
2003-02-01,0.91,2.04
2003-03-01,1.54,3.30
2003-04-01,0.87,0.40
2003-05-01,1.29,7.70
2003-06-01,0.55,0.01
2003-07-01,4.27,2.03
2003-08-01,0.56,0.15
2003-09-01,0.34,0.05
2003-10-01,0.28,0.04
2003-11-01,0.26,0.19
2003-12-01,0.36,13.92
2004-01-01,2.02,22.89
2004-02-01,2.01,11.87
2004-03-01,1.30,2.46
2004-04-01,0.90,0.05
2004-05-01,0.66,0.01
2004-06-01,0.48,2.66
2004-07-01,7.88,12.15
2004-08-01,3.85,6.22
2004-09-01,0.87,0.25
2004-10-01,0.40,0.22
2004-11-01,0.23,0.01
2004-12-01,0.50,1.20
2005-01-01,1.26,13.51
2005-02-01,3.36,25.10
2005-03-01,1.42,1.82
2005-04-01,1.08,0.43
2005-05-01,0.85,0.02
2005-06-01,0.64,0.00
2005-07-01,0.96,0.61
2005-08-01,0.43,0.01
2005-09-01,4.90,6.36
2005-10-01,0.38,0.14
2005-11-01,0.20,5.97
2005-12-01,0.67,3.46
2006-01-01,1.89,23.79
2006-02-01,2.08,13.84
2006-03-01,2.22,5.43
2006-04-01,1.49,3.83
2006-05-01,1.19,0.11
2006-06-01,0.90,0.04
2006-07-01,0.75,0.03
2006-08-01,0.65,0.29
2006-09-01,0.53,0.78
2006-10-01,0.38,0.44
2006-11-01,0.36,0.65
2006-12-01,0.41,1.33
2007-01-01,1.19,15.02
2007-02-01,1.06,5.53
2007-03-01,1.62,7.48
2007-04-01,0.85,0.37
2007-05-01,0.60,1.21
2007-06-01,0.48,3.40
2007-07-01,0.37,0.40
2007-08-01,0.32,0.04
2007-09-01,0.29,0.12
2007-10-01,0.18,0.27
2007-11-01,0.33,0.63
2007-12-01,0.47,3.85
2008-01-01,2.79,29.61
2008-02-01,1.60,1.49
2008-03-01,1.53,3.13
2008-04-01,0.73,0.06
2008-05-01,0.51,0.08
2008-06-01,0.40,0.03
2008-07-01,0.37,0.03
2008-08-01,0.77,0.21
2008-09-01,0.28,0.02
2008-10-01,0.20,0.34
2008-11-01,0.13,0.08
2008-12-01,0.44,9.95
2009-01-01,0.76,1.96
2009-02-01,1.00,12.74
2009-03-01,1.33,4.81
2009-04-01,1.09,3.36
2009-05-01,0.52,0.00
2009-06-01,0.33,0.00
2009-07-01,0.37,0.59
2009-08-01,0.26,0.00
2009-09-01,0.22,0.06
2009-10-01,0.16,0.12
2009-11-01,0.34,2.86
2009-12-01,0.23,9.24
2010-01-01,0.51,10.68
2010-02-01,0.68,9.60
2010-03-01,0.87,1.10
2010-04-01,0.46,3.32
2010-05-01,1.38,2.50
2010-06-01,0.27,0.00
2010-07-01,0.21,0.00
2010-08-01,0.17,0.23
2010-09-01,0.14,2.67
2010-10-01,0.10,0.02
2010-11-01,0.07,0.02
2010-12-01,0.50,4.42
2011-01-01,0.83,12.62
2011-02-01,3.31,37.74
2011-03-01,2.00,2.46
2011-04-01,1.46,1.19
2011-05-01,3.20,1.46
2011-06-01,0.93,1.39
2011-07-01,16.40,10.68
2011-08-01,1.48,0.05
2011-09-01,0.75,0.07
2011-10-01,0.34,0.74
2011-11-01,0.31,0.04
2011-12-01,0.69,17.58
2012-01-01,2.96,14.83
2012-02-01,3.21,28.77
2012-03-01,2.93,8.84
2012-04-01,2.90,1.16
2012-05-01,1.82,0.05
2012-06-01,1.49,0.04
2012-07-01,1.32,0.05
2012-08-01,1.19,0.00
2012-09-01,0.93,0.05
2012-10-01,0.59,1.21
2012-11-01,0.42,0.99
2012-12-01,1.26,11.70
2013-01-01,1.73,15.73
2013-02-01,1.34,6.50
2013-03-01,1.28,2.81
2013-04-01,0.80,0.01
2013-05-01,1.37,9.26
2013-06-01,6.31,8.16
2013-07-01,2.66,1.39
2013-08-01,0.69,0.39
2013-09-01,0.42,0.10
2013-10-01,0.32,0.41
2013-11-01,0.22,0.04
2013-12-01,0.91,8.71
2014-01-01,1.89,10.77
2014-02-01,0.63,0.56
2014-03-01,0.46,0.19
2014-04-01,0.76,0.44
2014-05-01,0.55,0.93
2014-06-01,0.22,0.00
2014-07-01,0.23,0.02
2014-08-01,0.41,0.38
2014-09-01,0.24,2.16
2014-10-01,0.39,0.68
2014-11-01,0.23,2.23
2014-12-01,0.16,1.78
2015-01-01,0.92,11.96
2015-02-01,1.60,14.42
2015-03-01,1.57,6.89
2015-04-01,1.70,8.28
2015-05-01,1.54,0.25
2015-06-01,0.92,0.00
2015-07-01,0.75,0.30
2015-08-01,0.61,0.17
2015-09-01,0.37,0.66
2015-10-01,0.22,6.37
2015-11-01,0.11,1.40
2015-12-01,0.07,4.25
2016-01-01,0.17,1.47
2016-02-01,0.87,21.55
2016-03-01,0.67,0.08
2016-04-01,1.07,5.67
2016-05-01,0.38,0.00
2016-06-01,1.09,0.09
2016-07-01,4.85,2.96
2016-08-01,0.29,0.00
2016-09-01,0.32,0.09
2016-10-01,0.15,2.20
2016-11-01,0.09,0.70
2016-12-01,0.28,1.10
2017-01-01,1.41,24.03
2017-02-01,1.29,17.55
2017-03-01,1.74,11.01
2017-04-01,1.09,1.91
2017-05-01,1.20,7.72
2017-06-01,3.08,2.86
2017-07-01,0.63,0.01
2017-08-01,0.40,0.00
2017-09-01,0.36,0.24
2017-10-01,0.20,1.44
2017-11-01,0.15,0.61
2017-12-01,0.40,7.59
2018-01-01,1.38,11.24
2018-02-01,2.14,24.34
2018-03-01,1.36,3.32
2018-04-01,1.11,1.08
2018-05-01,0.81,0.01
2018-06-01,16.72,18.45
2018-07-01,10.96,16.20
2018-08-01,6.04,2.46
2018-09-01,0.75,0.07
2018-10-01,0.36,0.39
2018-11-01,0.22,0.16
2018-12-01,0.52,8.32
2019-01-01,1.37,25.08
2019-02-01,2.51,20.04
2019-03-01,1.24,0.73
2019-04-01,1.03,0.44
2019-05-01,0.72,0.59
2019-06-01,0.51,1.02
2019-07-01,1.93,0.68
2019-08-01,0.50,0.00
2019-09-01,0.60,2.23
2019-10-01,0.24,1.90
2019-11-01,0.42,1.47
2019-12-01,0.37,4.66
2020-01-01,1.35,17.96
2020-02-01,1.75,21.53
2020-03-01,1.88,5.43
2020-04-01,1.34,0.42
2020-05-01,0.96,0.66
2020-06-01,0.82,0.03
2020-07-01,0.65,0.00
2020-08-01,0.64,0.17
2020-09-01,0.45,1.90
2020-10-01,0.79,5.03
2020-11-01,0.34,0.73
2020-12-01,0.59,10.51
2021-01-01,1.27,7.16
2021-02-01,0.99,3.85
2021-03-01,1.96,4.06
2021-04-01,0.84,1.41
2021-05-01,0.78,2.63
2021-06-01,0.46,0.02
2021-07-01,0.55,0.30
2021-08-01,0.38,0.02
2021-09-01,0.28,4.76
2021-10-01,0.15,0.03
2021-11-01,0.17,1.90
2021-12-01,1.25,29.14
2022-01-01,2.60,21.51
2022-02-01,1.56,6.84
2022-03-01,1.93,3.18
2022-04-01,0.97,1.18
2022-05-01,1.03,0.13
2022-06-01,0.83,0.27
2022-07-01,0.59,0.08
2022-08-01,0.50,0.03
2022-09-01,0.38,0.01
2022-10-01,0.23,0.02
2022-11-01,0.49,0.34
2022-12-01,1.14,10.95
2023-01-01,0.72,6.62
2023-02-01,1.19,12.71
2023-03-01,1.59,3.24
2023-04-01,1.45,0.06
2023-05-01,0.70,0.88
2023-06-01,0.36,0.00
2023-07-01,0.27,0.02
2023-08-01,0.24,0.00
2023-09-01,0.19,0.00
2023-10-01,0.38,1.96
2023-11-01,0.41,2.13
2023-12-01,0.51,7.28
2024-01-01,0.93,1.97
2024-02-01,1.35,14.40
2024-03-01,1.78,4.53
2024-04-01,1.01,0.10
