year,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
2000,3.5,5.4,1.3,6.7,18.4,32.3,43.5,36.9,36.9,30.6,22.5,11.7
2001,3.9,1.7,3,8,23.4,21.6,33.5,37.9,34.4,28.6,20.4,9.3
2002,3.5,2.1,2.9,7.8,7.8,45.2,42.5,40.8,36.4,31.7,27,17.8
2003,10.8,4.7,3.1,2.8,14.3,35.8,37.8,32.6,29.4,22.5,15.3,5.8
2004,2.9,2.2,1.7,11.4,16.3,24.3,32.1,36.5,27.5,17.1,16.4,5.6
2005,2.8,1.6,4.4,7.9,31.2,34.4,36.3,38.7,38.3,32.2,26.6,17.8
2006,8.3,4.4,2.9,4.2,7.2,32.5,39.2,37.3,33.5,30.6,21.5,6.0
2007,4.7,3.4,3.2,5.5,12.9,39.1,41.9,39.9,33.6,26.3,14.7,5.7
2008,2.3,2.6,3.3,2.4,28.7,37.9,36.9,40,35.6,29.8,21.4,8.7
2009,3.4,2.1,2.2,1.6,8.9,21.3,41.9,39.5,35.5,29.9,20.9,10.4
2010,4,1.9,1.4,1.4,8.3,33.4,39.9,33.2,26,15.4,10.6,3.1
2011,2,2.2,1.4,1.5,2.9,24.8,42.2,38.9,32.2,23.7,12.3,3.4
2012,1.6,1.2,1.1,8.5,21.7,33.2,30.7,32.1,25.1,19.8,9.4,3.4
2013,1.7,1.5,1.1,1.4,18.1,34.3,35.3,34.7,27.6,22.3,12.1,3.6
2014,1.4,1.6,2.4,1.9,18,37.9,34,29.7,26.6,17.1,6.3,2.8
2015,1.3,1.5,3.3,3.1,2,5.4,33.3,39.6,34.1,32.4,24.8,13.1
2016,5.3,2.4,1.5,12.4,26.4,41,39.4,34,29,22.7,14.4,8.8
2017,2.6,1.9,1.9,6.7,25,36.8,35.2,31.1,25.1,20.8,9.3,2.8
2018,1.9,1.3,1.5,1.2,3.8,36.3,34.1,30.8,24.7,21.9,11.4,4.9
2019,1.7,1.2,1.1,2.2,3.4,27.9,27.5,17.6,16.1,6,2,1
2020,1.2,0.9,0.8,3.9,4.1,26.3,41.1,33.8,28,17,6.5,2
2021,1.2,5.9,1.9,1.3,9.4,22.8,27.2,22.9,27,12.1,2.7,1.1
2022,0.9,1,0.9,5.2,10.9,29.6,44.1,37.4,29.7,20.4,7.2,1.9
