Year,SCA
2000-02-01,0.50
2000-03-01,0.52
2000-04-01,0.32
2000-05-01,1.17
2000-06-01,5.45
2000-07-01,4.55
2000-08-01,3.85
2000-09-01,2.46
2000-10-01,1.86
2000-11-01,1.28
2000-12-01,1.07
2001-01-01,0.70
2001-02-01,0.51
2001-03-01,0.43
2001-04-01,0.56
2001-05-01,1.94
2001-06-01,2.31
2001-07-01,6.06
2001-08-01,3.23
2001-09-01,2.33
2001-10-01,1.43
2001-11-01,1.08
2001-12-01,0.83
2002-01-01,0.48
2002-02-01,0.39
2002-03-01,0.34
2002-04-01,0.55
2002-05-01,2.06
2002-06-01,7.29
2002-07-01,6.29
2002-08-01,3.67
2002-09-01,3.04
2002-10-01,2.43
2002-11-01,1.36
2002-12-01,1.42
2003-01-01,0.98
2003-02-01,0.72
2003-03-01,0.55
2003-04-01,0.85
2003-05-01,1.82
2003-06-01,5.09
2003-07-01,6.67
2003-08-01,4.50
2003-09-01,2.78
2003-10-01,1.39
2003-11-01,0.96
2003-12-01,1.13
2004-01-01,0.68
2004-02-01,0.54
2004-03-01,0.46
2004-04-01,1.13
2004-05-01,0.93
2004-06-01,6.59
2004-07-01,8.81
2004-08-01,3.05
2004-09-01,3.63
2004-10-01,1.40
2004-11-01,1.17
2004-12-01,0.84
2005-01-01,0.70
2005-02-01,0.46
2005-03-01,0.49
2005-04-01,0.76
2005-05-01,6.29
2005-06-01,17.45
2005-07-01,7.87
2005-08-01,8.58
2005-09-01,3.98
2005-10-01,2.26
2005-11-01,1.30
2005-12-01,1.46
2006-01-01,0.92
2006-02-01,0.70
2006-03-01,0.53
2006-04-01,0.78
2006-05-01,1.64
2006-06-01,7.38
2006-07-01,10.42
2006-08-01,6.02
2006-09-01,4.10
2006-10-01,1.79
2006-11-01,1.43
2006-12-01,1.24
2007-01-01,0.73
2007-02-01,0.61
2007-03-01,0.46
2007-04-01,1.16
2007-05-01,2.44
2007-06-01,12.47
2007-07-01,14.22
2007-08-01,10.22
2007-09-01,5.08
2007-10-01,2.89
2007-11-01,1.47
2007-12-01,1.53
2008-01-01,0.75
2008-02-01,0.45
2008-03-01,0.40
2008-04-01,1.24
2008-05-01,1.64
2008-06-01,6.87
2008-07-01,6.61
2008-08-01,8.72
2008-09-01,3.71
2008-10-01,1.99
2008-11-01,1.24
2008-12-01,0.83
2009-01-01,0.56
2009-02-01,0.46
2009-03-01,0.38
2009-04-01,0.66
2009-05-01,2.69
2009-06-01,3.44
2009-07-01,6.01
2009-08-01,5.15
2009-09-01,3.39
2009-10-01,1.78
2009-11-01,2.02
2009-12-01,1.14
2010-01-01,0.90
2010-02-01,0.60
2010-03-01,0.51
2010-04-01,0.74
2010-05-01,2.22
2010-06-01,8.86
2010-07-01,10.24
2010-08-01,7.71
2010-09-01,5.01
2010-10-01,2.45
2010-11-01,1.34
2010-12-01,1.27
2011-01-01,0.77
2011-02-01,0.51
2011-03-01,0.67
2011-04-01,1.08
2011-05-01,2.76
2011-06-01,4.91
2011-07-01,11.40
2011-08-01,7.99
2011-09-01,4.41
2011-10-01,2.30
2011-11-01,1.25
2011-12-01,1.11
2012-01-01,0.56
2012-02-01,0.39
2012-03-01,0.40
2012-04-01,0.51
2012-05-01,2.36
2012-06-01,4.70
2012-07-01,6.77
2012-08-01,3.22
2012-09-01,2.06
2012-10-01,1.16
2012-11-01,1.06
2012-12-01,0.81
2013-01-01,0.49
2013-02-01,0.44
2013-03-01,0.38
2013-04-01,0.70
2013-05-01,2.42
2013-06-01,6.70
2013-07-01,5.81
2013-08-01,5.82
2013-09-01,3.22
2013-10-01,1.31
2013-11-01,1.23
2013-12-01,0.82
2014-01-01,0.55
2014-02-01,0.39
2014-03-01,0.39
2014-04-01,0.94
2014-05-01,2.15
2014-06-01,9.55
2014-07-01,7.70
2014-08-01,4.05
2014-09-01,2.84
2014-10-01,1.49
2014-11-01,1.16
