Year,SCA
2000-02-01,0.13
2000-03-01,0.64
2000-04-01,0.99
2000-05-01,7.92
2000-06-01,27.43
2000-07-01,51.65
2000-08-01,15.34
2000-09-01,20.13
2000-10-01,13.46
2000-11-01,4.99
2000-12-01,0.75
2001-01-01,0.50
2001-02-01,0.45
2001-03-01,1.90
2001-04-01,2.30
2001-05-01,9.92
2001-06-01,17.81
2001-07-01,56.18
2001-08-01,28.58
2001-09-01,18.22
2001-10-01,7.14
2001-11-01,1.53
2001-12-01,1.43
2002-01-01,0.81
2002-02-01,0.68
2002-03-01,1.94
2002-04-01,4.19
2002-05-01,23.67
2002-06-01,58.86
2002-07-01,39.36
2002-08-01,27.18
2002-09-01,11.10
2002-10-01,7.75
2002-11-01,10.10
2002-12-01,3.30
2003-01-01,2.34
2003-02-01,1.39
2003-03-01,1.17
2003-04-01,3.48
2003-05-01,7.45
2003-06-01,36.93
2003-07-01,34.84
2003-08-01,29.33
2003-09-01,10.61
2003-10-01,11.14
2003-11-01,4.41
2003-12-01,2.70
2004-01-01,2.28
2004-02-01,1.37
2004-03-01,1.29
2004-04-01,11.95
2004-05-01,9.23
2004-06-01,31.77
2004-07-01,57.11
2004-08-01,24.94
2004-09-01,16.09
2004-10-01,4.56
2004-11-01,3.86
2004-12-01,1.74
2005-01-01,1.24
2005-02-01,1.02
2005-03-01,2.09
2005-04-01,7.02
2005-05-01,27.94
2005-06-01,55.57
2005-07-01,74.10
2005-08-01,62.69
2005-09-01,40.24
2005-10-01,13.32
2005-11-01,3.95
2005-12-01,3.26
2006-01-01,1.69
2006-02-01,1.21
2006-03-01,1.88
2006-04-01,3.92
2006-05-01,8.11
2006-06-01,41.22
2006-07-01,69.78
2006-08-01,60.05
2006-09-01,28.94
2006-10-01,11.17
2006-11-01,4.91
2006-12-01,1.82
2007-01-01,1.93
2007-02-01,1.32
2007-03-01,1.17
2007-04-01,4.98
2007-05-01,20.65
2007-06-01,64.58
2007-07-01,62.41
2007-08-01,44.83
2007-09-01,35.38
2007-10-01,15.38
2007-11-01,4.13
2007-12-01,2.56
2008-01-01,1.68
2008-02-01,0.91
2008-03-01,0.78
2008-04-01,6.33
2008-05-01,19.64
2008-06-01,45.01
2008-07-01,46.70
2008-08-01,62.04
2008-09-01,32.79
2008-10-01,10.36
2008-11-01,3.55
2008-12-01,2.06
2009-01-01,0.79
2009-02-01,0.63
2009-03-01,1.11
2009-04-01,2.17
2009-05-01,21.07
2009-06-01,39.85
2009-07-01,42.34
2009-08-01,33.02
2009-09-01,21.15
2009-10-01,11.52
2009-11-01,3.85
2009-12-01,3.05
2010-01-01,3.17
2010-02-01,1.80
2010-03-01,1.53
2010-04-01,4.43
2010-05-01,17.90
2010-06-01,35.67
2010-07-01,80.73
2010-08-01,61.30
2010-09-01,35.55
2010-10-01,14.74
2010-11-01,3.67
2010-12-01,2.82
2011-01-01,1.55
2011-02-01,1.12
2011-03-01,1.90
2011-04-01,4.23
2011-05-01,16.91
2011-06-01,32.17
2011-07-01,51.96
2011-08-01,39.01
2011-09-01,26.31
2011-10-01,12.07
2011-11-01,3.81
2011-12-01,2.25
2012-01-01,0.91
2012-02-01,0.90
2012-03-01,0.75
2012-04-01,2.79
2012-05-01,20.65
2012-06-01,43.27
2012-07-01,58.61
2012-08-01,43.41
2012-09-01,24.16
2012-10-01,10.39
2012-11-01,3.88
2012-12-01,1.27
2013-01-01,1.66
2013-02-01,0.66
2013-03-01,0.80
2013-04-01,2.35
2013-05-01,19.60
2013-06-01,28.19
2013-07-01,49.19
2013-08-01,54.65
2013-09-01,32.57
2013-10-01,9.52
2013-11-01,2.90
2013-12-01,1.56
2014-01-01,1.11
2014-02-01,0.76
2014-03-01,1.57
2014-04-01,5.38
2014-05-01,18.26
2014-06-01,43.09
2014-07-01,33.38
2014-08-01,23.28
2014-09-01,13.01
2014-10-01,6.17
2014-11-01,5.46
2014-12-01,2.39
2015-01-01,1.16
2015-02-01,0.87
2015-03-01,0.99
2015-04-01,4.94
2015-05-01,16.96
2015-06-01,33.81
2015-07-01,40.72
2015-08-01,28.98
2015-09-01,20.30
2015-10-01,11.27
2015-11-01,3.21
2015-12-01,1.68
2016-01-01,1.03
2016-02-01,0.71
2016-03-01,0.59
2016-04-01,4.37
2016-05-01,4.92
2016-06-01,13.32
2016-07-01,25.78
2016-08-01,25.73
2016-09-01,16.52
2016-10-01,5.42
2016-11-01,1.97
2016-12-01,0.60
2017-01-01,0.58
2017-02-01,0.45
2017-03-01,0.58
2017-04-01,1.67
2017-05-01,15.55
2017-06-01,66.41
2017-07-01,57.35
2017-08-01,36.98
2017-09-01,30.06
2017-10-01,10.64
2017-11-01,6.27
2017-12-01,2.55
2018-01-01,1.28
2018-02-01,0.71
2018-03-01,2.61
2018-04-01,11.95
2018-05-01,17.34
2018-06-01,43.75
2018-07-01,66.02
2018-08-01,32.17
2018-09-01,16.73
2018-10-01,11.04
2018-11-01,3.83
2018-12-01,1.89
2019-01-01,1.49
2019-02-01,1.03
2019-03-01,0.77
2019-04-01,3.27
2019-05-01,13.24
2019-06-01,55.50
2019-07-01,57.66
2019-08-01,33.73
2019-09-01,21.61
2019-10-01,11.01
2019-11-01,3.23
2019-12-01,1.77
2020-01-01,1.07
2020-02-01,0.90
2020-03-01,0.91
2020-04-01,4.21
2020-05-01,19.58
2020-06-01,38.53
2020-07-01,68.45
2020-08-01,47.06
2020-09-01,28.86
2020-10-01,12.67
2020-11-01,3.96
2020-12-01,1.97
2021-01-01,1.10
2021-02-01,0.77
2021-03-01,0.64
2021-04-01,3.33
2021-05-01,11.41
2021-06-01,32.62
2021-07-01,30.62
2021-08-01,27.22
2021-09-01,14.36
2021-10-01,4.68
2021-11-01,2.27
2021-12-01,1.13
2022-01-01,0.74
2022-02-01,0.47
2022-03-01,1.79
2022-04-01,4.44
2022-05-01,22.94
2022-06-01,44.64
2022-07-01,69.30
2022-08-01,46.40
