date,value
2000-02-01,0.44
2000-03-01,1.90
2000-04-01,5.17
2000-05-01,17.73
2000-06-01,33.18
2000-07-01,37.41
2000-08-01,22.59
2000-09-01,17.48
2000-10-01,10.18
2000-11-01,5.43
2000-12-01,0.39
2001-01-01,0.93
2001-02-01,1.47
2001-03-01,6.06
2001-04-01,6.37
2001-05-01,16.07
2001-06-01,19.94
2001-07-01,36.95
2001-08-01,27.22
2001-09-01,16.04
2001-10-01,7.82
2001-11-01,1.44
2001-12-01,1.07
2002-01-01,2.34
2002-02-01,2.34
2002-03-01,4.13
2002-04-01,7.48
2002-05-01,24.11
2002-06-01,41.54
2002-07-01,45.68
2002-08-01,29.99
2002-09-01,17.19
2002-10-01,12.14
2002-11-01,7.79
2002-12-01,1.74
2003-01-01,2.25
2003-02-01,3.30
2003-03-01,5.10
2003-04-01,9.22
2003-05-01,15.80
2003-06-01,45.80
2003-07-01,43.14
2003-08-01,31.48
2003-09-01,16.36
2003-10-01,11.29
2003-11-01,8.72
2003-12-01,2.51
2004-01-01,4.38
2004-02-01,3.97
2004-03-01,4.70
2004-04-01,13.24
2004-05-01,17.76
2004-06-01,43.28
2004-07-01,55.66
2004-08-01,37.97
2004-09-01,19.66
2004-10-01,9.87
2004-11-01,5.91
2004-12-01,2.63
2005-01-01,2.09
2005-02-01,3.29
2005-03-01,6.05
2005-04-01,10.57
2005-05-01,39.41
2005-06-01,52.09
2005-07-01,70.65
2005-08-01,61.06
2005-09-01,50.55
2005-10-01,33.93
2005-11-01,22.77
2005-12-01,2.59
2006-01-01,2.94
2006-02-01,3.04
2006-03-01,5.74
2006-04-01,11.94
2006-05-01,21.92
2006-06-01,51.06
2006-07-01,71.17
2006-08-01,60.75
2006-09-01,46.54
2006-10-01,29.31
2006-11-01,17.67
2007-01-01,2.61
2007-02-01,2.87
2007-03-01,4.99
2007-04-01,11.99
2007-05-01,33.69
2007-06-01,66.52
2007-07-01,65.31
2007-08-01,62.83
2007-09-01,49.36
2007-10-01,40.77
2007-11-01,20.41
2007-12-01,2.40
2008-01-01,3.66
2008-02-01,2.65
2008-03-01,3.82
2008-04-01,13.90
2008-05-01,36.18
2008-06-01,51.89
2008-07-01,55.19
2008-08-01,59.24
2008-09-01,49.76
2008-10-01,19.94
2008-11-01,14.03
2008-12-01,3.38
2009-01-01,2.53
2009-02-01,2.55
2009-03-01,6.65
2009-04-01,9.56
2009-05-01,34.65
2009-06-01,63.42
2009-07-01,62.54
2009-08-01,58.25
2009-09-01,51.44
2009-10-01,41.51
