Year,Elevation,SCA
2000-02-01,100,0.00
2000-02-01,200,0.00
2000-02-01,300,0.00
2000-02-01,400,0.00
2000-02-01,500,0.00
2000-02-01,600,0.00
2000-02-01,700,0.00
2000-02-01,800,0.00
2000-02-01,900,0.00
2000-02-01,1000,0.00
2000-02-01,1100,0.00
2000-02-01,1200,0.00
2000-02-01,1300,0.00
2000-02-01,1400,0.00
2000-02-01,1500,0.00
2000-02-01,1600,0.00
2000-02-01,1700,0.00
2000-02-01,1800,0.00
2000-02-01,1900,0.00
2000-02-01,2000,0.00
2000-02-01,2100,0.00
2000-02-01,2200,0.00
2000-02-01,2300,0.01
2000-02-01,2400,0.02
2000-02-01,2500,0.03
2000-02-01,2600,0.21
2000-02-01,2700,0.24
2000-02-01,2800,0.85
2000-02-01,2900,1.38
2000-02-01,3000,2.21
2000-02-01,3100,4.20
2000-02-01,3200,6.45
2000-02-01,3300,7.24
2000-02-01,3400,9.15
2000-02-01,3500,13.30
2000-02-01,3600,18.15
2000-02-01,3700,22.91
2000-02-01,3800,29.50
2000-02-01,3900,37.53
2000-02-01,4000,46.45
2000-02-01,4100,52.09
2000-02-01,4200,61.98
2000-02-01,4300,66.55
2000-02-01,4400,67.90
2000-02-01,4500,82.56
2000-02-01,4600,89.55
2000-02-01,4700,91.97
2000-02-01,4800,89.75
2000-02-01,4900,86.65
2000-02-01,5000,96.86
2000-02-01,5100,98.47
2000-02-01,5200,96.95
2000-02-01,5300,88.00
2000-02-01,5400,100.00
2000-02-01,5500,86.72
2000-02-01,5600,85.62
2000-02-01,5700,84.24
2000-02-01,5800,64.22
2000-02-01,5900,100.00
2000-03-01,100,0.00
2000-03-01,200,0.00
2000-03-01,300,0.00
2000-03-01,400,0.00
2000-03-01,500,0.00
2000-03-01,600,0.00
2000-03-01,700,0.00
2000-03-01,800,0.00
2000-03-01,900,0.00
2000-03-01,1000,0.00
2000-03-01,1100,0.00
2000-03-01,1200,0.00
2000-03-01,1300,0.00
2000-03-01,1400,0.00
2000-03-01,1500,0.00
2000-03-01,1600,0.00
2000-03-01,1700,0.00
2000-03-01,1800,0.00
2000-03-01,1900,0.00
2000-03-01,2000,0.00
2000-03-01,2100,0.00
2000-03-01,2200,0.00
2000-03-01,2300,0.00
2000-03-01,2400,0.00
2000-03-01,2500,0.00
2000-03-01,2600,0.00
2000-03-01,2700,0.01
2000-03-01,2800,0.01
2000-03-01,2900,0.02
2000-03-01,3000,0.03
2000-03-01,3100,0.09
2000-03-01,3200,0.28
2000-03-01,3300,0.07
2000-03-01,3400,0.10
2000-03-01,3500,0.24
2000-03-01,3600,0.30
2000-03-01,3700,0.54
2000-03-01,3800,1.20
2000-03-01,3900,1.53
2000-03-01,4000,5.14
2000-03-01,4100,5.97
2000-03-01,4200,9.36
2000-03-01,4300,12.55
2000-03-01,4400,16.62
2000-03-01,4500,31.23
2000-03-01,4600,40.93
2000-03-01,4700,50.72
2000-03-01,4800,50.80
2000-03-01,4900,56.74
2000-03-01,5000,75.65
2000-03-01,5100,77.34
2000-03-01,5200,86.18
2000-03-01,5300,93.13
2000-03-01,5400,98.38
2000-03-01,5500,98.36
2000-03-01,5600,98.32
2000-03-01,5700,100.00
2000-03-01,5800,100.00
2000-03-01,5900,99.54
2000-04-01,100,0.00
2000-04-01,200,0.00
2000-04-01,300,0.00
2000-04-01,400,0.00
2000-04-01,500,0.00
2000-04-01,600,0.00
2000-04-01,700,0.00
2000-04-01,800,0.00
2000-04-01,900,0.00
2000-04-01,1000,0.00
2000-04-01,1100,0.00
2000-04-01,1200,0.00
2000-04-01,1300,0.00
2000-04-01,1400,0.00
2000-04-01,1500,0.00
2000-04-01,1600,0.00
2000-04-01,1700,0.00
2000-04-01,1800,0.00
2000-04-01,1900,0.00
2000-04-01,2000,0.00
2000-04-01,2100,0.00
2000-04-01,2200,0.00
2000-04-01,2300,0.01
2000-04-01,2400,0.01
2000-04-01,2500,0.04
2000-04-01,2600,0.05
2000-04-01,2700,0.15
2000-04-01,2800,0.34
2000-04-01,2900,0.64
2000-04-01,3000,1.21
2000-04-01,3100,2.93
2000-04-01,3200,5.33
2000-04-01,3300,8.53
2000-04-01,3400,12.03
2000-04-01,3500,17.69
2000-04-01,3600,21.54
2000-04-01,3700,25.78
2000-04-01,3800,30.38
2000-04-01,3900,33.73
2000-04-01,4000,37.98
2000-04-01,4100,40.35
2000-04-01,4200,44.29
2000-04-01,4300,47.04
2000-04-01,4400,50.75
2000-04-01,4500,58.34
2000-04-01,4600,64.92
2000-04-01,4700,71.56
2000-04-01,4800,69.34
2000-04-01,4900,69.77
2000-04-01,5000,80.92
2000-04-01,5100,79.78
2000-04-01,5200,87.98
2000-04-01,5300,91.01
2000-04-01,5400,93.25
2000-04-01,5500,95.62
2000-04-01,5600,97.44
2000-04-01,5700,100.00
2000-04-01,5800,100.00
2000-04-01,5900,95.96
2000-05-01,100,0.00
2000-05-01,200,0.00
2000-05-01,300,0.00
2000-05-01,400,0.00
2000-05-01,500,0.00
2000-05-01,600,0.00
2000-05-01,700,0.00
2000-05-01,800,0.00
2000-05-01,900,0.00
2000-05-01,1000,0.00
2000-05-01,1100,0.00
2000-05-01,1200,0.00
2000-05-01,1300,0.00
2000-05-01,1400,0.00
2000-05-01,1500,0.00
2000-05-01,1600,0.02
2000-05-01,1700,0.01
2000-05-01,1800,0.10
2000-05-01,1900,0.31
2000-05-01,2000,0.45
2000-05-01,2100,1.13
2000-05-01,2200,2.89
2000-05-01,2300,3.64
2000-05-01,2400,7.33
2000-05-01,2500,9.58
2000-05-01,2600,13.70
2000-05-01,2700,17.30
2000-05-01,2800,21.53
2000-05-01,2900,26.56
2000-05-01,3000,30.05
2000-05-01,3100,35.57
2000-05-01,3200,41.27
2000-05-01,3300,46.48
2000-05-01,3400,50.77
2000-05-01,3500,56.26
2000-05-01,3600,60.23
2000-05-01,3700,64.86
2000-05-01,3800,69.53
2000-05-01,3900,74.38
2000-05-01,4000,77.62
2000-05-01,4100,81.99
2000-05-01,4200,88.52
2000-05-01,4300,88.60
2000-05-01,4400,92.84
2000-05-01,4500,96.38
2000-05-01,4600,96.48
2000-05-01,4700,99.82
2000-05-01,4800,98.05
2000-05-01,4900,96.31
2000-05-01,5000,99.91
2000-05-01,5100,100.00
2000-05-01,5200,100.00
2000-05-01,5300,100.00
2000-05-01,5400,100.00
2000-05-01,5500,100.00
2000-05-01,5600,100.00
2000-05-01,5700,100.00
2000-05-01,5800,100.00
2000-05-01,5900,100.00
2000-06-01,100,0.01
2000-06-01,200,0.02
2000-06-01,300,0.01
2000-06-01,400,0.10
2000-06-01,500,0.02
2000-06-01,600,0.05
2000-06-01,700,0.05
2000-06-01,800,0.11
2000-06-01,900,0.10
2000-06-01,1000,0.05
2000-06-01,1100,0.09
2000-06-01,1200,0.13
2000-06-01,1300,0.32
2000-06-01,1400,0.92
2000-06-01,1500,2.51
2000-06-01,1600,5.79
2000-06-01,1700,11.21
2000-06-01,1800,15.64
2000-06-01,1900,19.96
2000-06-01,2000,21.73
2000-06-01,2100,24.59
2000-06-01,2200,30.46
2000-06-01,2300,33.15
2000-06-01,2400,35.05
2000-06-01,2500,37.15
2000-06-01,2600,38.89
2000-06-01,2700,42.36
2000-06-01,2800,46.62
2000-06-01,2900,53.38
2000-06-01,3000,57.08
2000-06-01,3100,65.55
2000-06-01,3200,71.68
2000-06-01,3300,79.97
2000-06-01,3400,84.67
2000-06-01,3500,88.56
2000-06-01,3600,91.50
2000-06-01,3700,93.20
2000-06-01,3800,95.95
2000-06-01,3900,95.99
2000-06-01,4000,98.29
2000-06-01,4100,98.57
2000-06-01,4200,98.87
2000-06-01,4300,98.36
2000-06-01,4400,99.19
2000-06-01,4500,99.34
2000-06-01,4600,97.46
2000-06-01,4700,100.00
2000-06-01,4800,98.95
2000-06-01,4900,100.00
2000-06-01,5000,99.06
2000-06-01,5100,100.00
2000-06-01,5200,100.00
2000-06-01,5300,99.54
2000-06-01,5400,100.00
2000-06-01,5500,100.00
2000-06-01,5600,99.43
2000-06-01,5700,100.00
2000-06-01,5800,100.00
2000-06-01,5900,100.00
2000-07-01,100,0.00
2000-07-01,200,0.00
2000-07-01,300,0.00
2000-07-01,400,0.00
2000-07-01,500,0.00
2000-07-01,600,0.00
2000-07-01,700,0.00
2000-07-01,800,0.17
2000-07-01,900,0.08
2000-07-01,1000,0.10
2000-07-01,1100,0.10
2000-07-01,1200,0.13
2000-07-01,1300,0.47
2000-07-01,1400,1.58
2000-07-01,1500,3.86
2000-07-01,1600,9.21
2000-07-01,1700,17.39
