group,variable,value
2000-02-01,100,0.031815797374007186
2000-02-01,200,0.029234613671587827
2000-02-01,300,0.018254350620231525
2000-02-01,400,0.0740328280461573
2000-02-01,500,0.037370655213027876
2000-02-01,600,0.005126290274604799
2000-02-01,700,0.03417059831182047
2000-02-01,800,0.02898257635703883
2000-02-01,900,0.016651375873995376
2000-02-01,1000,0.01385076498634048
2000-02-01,1100,0.0
2000-02-01,1200,0.0
2000-02-01,1300,0.0
2000-02-01,1400,0.03638233195295926
2000-02-01,1500,0.02356530000296905
2000-02-01,1600,0.16320662974081532
2000-02-01,1700,0.4049745674024667
2000-02-01,1800,1.0842998711282918
2000-02-01,1900,0.4012082362978161
2000-02-01,2000,0.20250506262656554
2000-02-01,2100,0.0
2000-02-01,2200,0.0
2000-02-01,2300,0.0
2000-03-01,100,0.08576298894294644
2000-03-01,200,0.11151610678751105
2000-03-01,300,0.05641594580041691
2000-03-01,400,0.05712656542021249
2000-03-01,500,0.04230487281783438
2000-03-01,600,0.05150339537621463
2000-03-01,700,0.03298294605588902
2000-03-01,800,0.11001856530956747
2000-03-01,900,0.14094416544980815
2000-03-01,1000,0.15429591139376475
2000-03-01,1100,0.390083127980019
2000-03-01,1200,0.936152821204668
2000-03-01,1300,1.76982703913664
2000-03-01,1400,2.884731220255034
2000-03-01,1500,5.325004453285082
2000-03-01,1600,7.991476047524463
2000-03-01,1700,12.51350969845941
2000-03-01,1800,14.469795138425974
2000-03-01,1900,12.157577993497654
2000-03-01,2000,9.561239030975768
2000-03-01,2100,0.7608090554833921
2000-03-01,2200,0.9656652360515022
2000-03-01,2300,0.0
2000-04-01,100,0.4582805492438103
2000-04-01,200,0.9208480119214155
2000-04-01,300,1.0146960025472935
2000-04-01,400,0.9213133423695615
2000-04-01,500,0.7984574024740838
2000-04-01,600,0.6857122062667573
2000-04-01,700,0.5921566318796601
2000-04-01,800,0.5354539800191026
2000-04-01,900,0.5910103114186042
2000-04-01,1000,0.6250039592787806
2000-04-01,1100,1.164371583140516
2000-04-01,1200,2.041226537034081
2000-04-01,1300,3.884149016367695
2000-04-01,1400,4.94496856229394
2000-04-01,1500,8.129744604103037
2000-04-01,1600,10.05594125688842
2000-04-01,1700,11.584536007203836
2000-04-01,1800,17.335146424921096
2000-04-01,1900,11.225137771219064
2000-04-01,2000,5.237980949523735
2000-04-01,2100,0.16162553349415476
2000-04-01,2200,0.0
2000-04-01,2300,0.0
2000-05-01,100,3.577274672350609
2000-05-01,200,6.323904811987019
2000-05-01,300,7.760977199566041
2000-05-01,400,8.408234340678794
2000-05-01,500,8.605406766312349
2000-05-01,600,7.84297919738777
2000-05-01,700,7.617975270469587
2000-05-01,800,7.255283588337315
2000-05-01,900,6.758322038691019
2000-05-01,1000,7.51337484625957
2000-05-01,1100,10.422370734386805
2000-05-01,1200,12.889201137719597
2000-05-01,1300,16.389715621846033
2000-05-01,1400,17.988495316653026
2000-05-01,1500,18.871146052905146
2000-05-01,1600,20.040629712626757
2000-05-01,1700,21.15022512107861
2000-05-01,1800,24.117131049193404
2000-05-01,1900,17.868500541861675
2000-05-01,2000,22.59213980349508
2000-05-01,2100,24.791241417702725
2000-05-01,2200,35.336194563662374
2000-05-01,2300,31.14856429463171
2000-06-01,100,7.804776303057098
2000-06-01,200,13.05216859228495
2000-06-01,300,15.495738984458287
2000-06-01,400,17.055934164339142
2000-06-01,500,18.934377559818568
2000-06-01,600,20.537381414983447
2000-06-01,700,21.17070325523049
2000-06-01,800,21.79774100511466
2000-06-01,900,23.558240619951427
2000-06-01,1000,25.777433775359988
2000-06-01,1100,30.29169112481451
2000-06-01,1200,31.910854020396126
2000-06-01,1300,31.879809023268077
2000-06-01,1400,27.73746705924052
2000-06-01,1500,23.801288854912176
2000-06-01,1600,19.92841740306973
2000-06-01,1700,16.895470807271966
2000-06-01,1800,22.86374261209616
2000-06-01,1900,18.391016624778057
2000-06-01,2000,35.10905272631814
2000-06-01,2100,39.17238819818149
2000-06-01,2200,47.78254649499286
2000-06-01,2300,59.644194756554306
2000-07-01,100,5.602202520865846
2000-07-01,200,11.366448320501492
2000-07-01,300,15.847486984398268
2000-07-01,400,20.498506348315484
2000-07-01,500,22.622349803678983
2000-07-01,600,29.443744976553063
2000-07-01,700,31.645417972328378
2000-07-01,800,35.08400067724192
2000-07-01,900,36.35733636374145
2000-07-01,1000,35.5330177005277
2000-07-01,1100,35.538577302603876
2000-07-01,1200,31.86652483942773
2000-07-01,1300,27.553567397665923
2000-07-01,1400,25.450500362419067
2000-07-01,1500,20.390419499450896
2000-07-01,1600,20.345079136893528
2000-07-01,1700,18.83375112560535
2000-07-01,1800,21.515353508421068
2000-07-01,1900,25.73036039567431
2000-07-01,2000,31.958298957473914
2000-07-01,2100,33.809612172944895
2000-07-01,2200,27.71816881258942
2000-07-01,2300,28.339575530586767
2000-08-01,100,2.382467603709946
2000-08-01,200,4.0953052568192945
2000-08-01,300,6.068416305886351
2000-08-01,400,8.931494431392657
2000-08-01,500,10.560981592979983
2000-08-01,600,12.999624072046963
2000-08-01,700,16.570551727183734
2000-08-01,800,19.957570213672707
2000-08-01,900,21.132022163631213
2000-08-01,1000,21.63951719883954
2000-08-01,1100,20.167302994534
2000-08-01,1200,15.372992626756085
2000-08-01,1300,9.338750516412505
2000-08-01,1400,6.467755982716401
2000-08-01,1500,3.42062204969869
2000-08-01,1600,2.6538694628838964
2000-08-01,1700,2.5602959429530947
2000-08-01,1800,2.6018753055148154
2000-08-01,1900,4.143512647282618
2000-08-01,2000,0.32250806270156734
2000-08-01,2100,3.9339395064019294
2000-08-01,2200,0.0
2000-08-01,2300,0.0
2000-09-01,100,0.8275169411792153
2000-09-01,200,1.671797408428541
2000-09-01,300,2.3677576489063683
2000-09-01,400,3.5051834793382275
2000-09-01,500,5.7539031174730875
2000-09-01,600,7.977939231309905
2000-09-01,700,9.380584317231586
2000-09-01,800,11.090454444446397
2000-09-01,900,11.446702351791194
2000-09-01,1000,10.023291832934493
2000-09-01,1100,8.17982889401666
2000-09-01,1200,5.159748366024074
2000-09-01,1300,3.440245237294203
2000-09-01,1400,1.6952846250232068
2000-09-01,1500,1.4123834723747997
