date,value
2000-02-01,3346.3470089264697
2000-03-01,3795.139460737738
2000-04-01,3193.3117800608284
2000-05-01,2361.250058987306
2000-06-01,1608.4255567005691
2000-07-01,1553.2753606900524
2000-08-01,1971.9309280680893
2000-09-01,1827.7627533064124
2000-10-01,2286.093042264074
2000-11-01,2692.71514753835
2000-12-01,3124.82116338663
2001-01-01,3456.513622124482
2001-02-01,3699.4596802644037
2001-03-01,3496.484052385259
2001-04-01,2912.1332656285267
2001-05-01,2231.3623486621404
2001-06-01,2676.9051671418993
2001-07-01,1850.8461018476792
2001-08-01,1889.4874919471893
2001-09-01,2082.939250290327
2001-10-01,2402.4542842936853
2001-11-01,2833.394080311695
2001-12-01,3338.0926681791743
2002-01-01,3522.6095604322745
2002-02-01,3708.8534638960637
2002-03-01,3502.3315018732574
2002-04-01,3013.873787695106
2002-05-01,2850.4623127676273
2002-06-01,1420.9665377949605
2002-07-01,1385.729990053918
2002-08-01,1716.7383564367176
2002-09-01,1963.8601047120417
2002-10-01,2244.866953897791
2002-11-01,2455.783961114204
2002-12-01,2949.925247320037
2003-01-01,3184.090409723266
2003-02-01,3428.945654533613
2003-03-01,3558.6331982948072
2003-04-01,3584.4952541263397
2003-05-01,1919.6034274415028
2003-06-01,1771.2382920999933
2003-07-01,1779.930964381009
2003-08-01,2137.7749756179255
2003-09-01,2380.702535108517
2003-10-01,2718.3405742203804
2003-11-01,2871.359678399196
2003-12-01,3466.9914065574194
2004-01-01,3568.763796909492
2004-02-01,3635.0302763404165
2004-03-01,3851.2282855145845
2004-04-01,2437.177716390424
2004-05-01,2760.858432178576
2004-06-01,2112.7588675676393
2004-07-01,1798.070251128009
2004-08-01,1573.754355106045
2004-09-01,2233.5350122568148
2004-10-01,2706.651647936661
2004-11-01,2824.069982202223
2004-12-01,3468.6242974057413
2005-01-01,3501.5017266896893
2005-02-01,3760.4586256317416
2005-03-01,3495.5790331682238
2005-04-01,3054.8089406496483
2005-05-01,1864.5353571544902
2005-06-01,1943.685309605956
2005-07-01,1898.6385386099876
2005-08-01,1612.4267108804306
2005-09-01,1790.0224723956865
2005-10-01,2197.4173373750045
2005-11-01,2489.844688446377
2005-12-01,2965.214568590534
2006-01-01,3370.563622236954
2006-02-01,3382.180451127819
2006-03-01,3503.969140810361
2006-04-01,3414.2269289703927
2006-05-01,3130.5791453607553
2006-06-01,2034.439870812488
2006-07-01,1219.8593966324831
2006-08-01,1932.240651437535
2006-09-01,2110.6830637073654
2006-10-01,2024.8120222122295
2006-11-01,2713.8219136947346
2007-01-01,3431.7797094224793
2007-02-01,3475.8503707706623
2007-03-01,3582.017121575126
2007-04-01,3328.1195966817554
2007-05-01,2691.795907397049
2007-06-01,1565.4053498998826
2007-07-01,1610.1413720898538
2007-08-01,1668.5381307470604
2007-09-01,2118.0969049373616
2007-10-01,2425.3577389093407
2007-11-01,3084.22720528905
2007-12-01,3494.808776660947
2008-01-01,3634.9018417324432
2008-02-01,3675.3652194238307
2008-03-01,3599.000922119071
2008-04-01,3251.8557449736254
2008-05-01,1902.6755065884179
2008-06-01,1954.6580851189653
2008-07-01,1664.8954099335783
2008-08-01,1819.817336724339
2008-09-01,2008.225156783766
2008-10-01,2308.4398129962956
2008-11-01,2703.7757235688787
2008-12-01,3335.538371808621
2009-01-01,3606.0951279995525
2009-02-01,3638.0498885114725
2009-03-01,3646.2830811890876
2009-04-01,3819.2752810841107
2009-05-01,3083.405610934128
2009-06-01,1858.2847375069018
2009-07-01,1592.793641566355
2009-08-01,1539.1626430319466
2009-09-01,2004.8899050223822
2009-10-01,2301.6236042936516
2009-11-01,2688.219922495583
2009-12-01,3148.6681439313165
2010-01-01,3482.9544727485436
2010-02-01,3692.288728125126
2010-03-01,3832.9208633093526
2010-04-01,3858.876156011258
2010-05-01,2727.3496599481928
2010-06-01,1760.4218070731993
2010-07-01,1573.828949479739
2010-08-01,1927.329840352145
2010-09-01,2197.5693922613614
2010-10-01,2825.2022004561927
2010-11-01,2848.4047869897613
2010-12-01,3523.1641898694234
2011-01-01,3752.2996874556047
2011-02-01,3624.304897754499
2011-03-01,3808.905232698336
2011-04-01,3716.3447973926163
2011-05-01,3422.364449172033
2011-06-01,1690.2673181948833
2011-07-01,1516.3772798064172
2011-08-01,1813.184801489479
2011-09-01,2150.793813377036
2011-10-01,2581.406398028308
2011-11-01,3174.6883988494724
2011-12-01,3552.3377923845223
2012-01-01,3731.528042140675
2012-02-01,4384.315735520247
2012-03-01,4424.60595446585
2012-04-01,3013.90123688911
2012-05-01,2498.147403862925
2012-06-01,1977.0120447307302
2012-07-01,2358.3925557774783
2012-08-01,1901.9995465880752
2012-09-01,2506.7856187674315
2012-10-01,2746.532133895985
2012-11-01,3316.669679985536
2012-12-01,3410.5674324835145
2013-01-01,3706.182707323087
2013-02-01,3761.8125960061443
2013-03-01,4249.5786678979575
2013-04-01,3805.1776696995794
2013-05-01,2348.453890249993
2013-06-01,1958.0118879574413
2013-07-01,1919.7926167209555
2013-08-01,1842.2777155655097
2013-09-01,2410.519698239732
2013-10-01,2666.379963096104
2013-11-01,3166.4479915804245
2013-12-01,3458.1261628953844
2014-01-01,3866.36254126885
2014-02-01,3758.0364410494026
2014-03-01,3562.739902188103
2014-04-01,3717.6138721925877
2014-05-01,2868.707688513472
2014-06-01,1606.7563173097153
2014-07-01,1989.8073707801223
2014-08-01,1991.9955682292891
2014-09-01,2293.343866980707
2014-10-01,2807.4286089881866
2014-11-01,3173.2926074311144
2014-12-01,3562.0524127504095
2015-01-01,3760.768900957553
2015-02-01,3776.9096372912168
2015-03-01,3500.0
2015-04-01,3616.2785335485364
2015-05-01,3249.479956234593
2015-06-01,3378.8852738812734
2015-07-01,1787.3685029048775
2015-08-01,1763.8255808787592
2015-09-01,2131.767955801105
2015-10-01,1958.4478052510378
2015-11-01,2578.6934132542096
2015-12-01,3175.5828444130752
2016-01-01,3528.3932687332413
2016-02-01,3607.15158516807
2016-03-01,3811.169843558119
2016-04-01,2752.2639852403545
2016-05-01,2110.4025118385835
2016-06-01,1735.988498530469
2016-07-01,1716.4673341815565
2016-08-01,2107.763219082529
2016-09-01,2353.6584628409023
2016-10-01,2545.241528478731
2016-11-01,3037.9003973386466
2016-12-01,3190.3669498018603
2017-01-01,3598.525708715783
2017-02-01,3685.4067039356996
2017-03-01,3717.6396582861553
2017-04-01,3229.043588687071
2017-05-01,1885.5095446706443
2017-06-01,1900.4925219650368
2017-07-01,1466.7411479048428
