Year,Snowline_elev
2000-02-01,1866.5020445010887
2000-03-01,2315.2164594942133
2000-04-01,
2000-05-01,846.4735053723942
2000-06-01,686.7725160944698
2000-07-01,1253.6217896561977
2000-08-01,1478.035728512876
2000-09-01,1526.4122691958426
2000-10-01,1359.8779830371868
2000-11-01,1515.3332291115496
2000-12-01,1686.3919357064021
2001-01-01,2001.7611815521805
2001-02-01,2354.529616724739
2001-03-01,2416.8745896257387
2001-04-01,2081.1058432855225
2001-05-01,1114.758551764866
2001-06-01,1560.0582798588039
2001-07-01,720.6517503191561
2001-08-01,1286.3713459044202
2001-09-01,1406.5172080304137
2001-10-01,1504.8175171077714
2001-11-01,1656.7848515827857
2001-12-01,1778.418862146139
2002-01-01,2437.8571428571427
2002-02-01,2170.1294996862343
2002-03-01,2252.954292084727
2002-04-01,2077.981876071516
2002-05-01,1601.7581266775794
2002-06-01,1183.4832420123819
2002-07-01,1016.343290157723
2002-08-01,1167.6300953095038
2002-09-01,1256.7031147845805
2002-10-01,1487.8452517957062
2002-11-01,1302.1860265752252
2002-12-01,1579.6676049589746
2003-01-01,1766.0575591078186
2003-02-01,2400.0
2003-03-01,2410.1608187134507
2003-04-01,2340.5092592592596
2003-05-01,1856.1917080808764
2003-06-01,1545.8357288978616
2003-07-01,1125.022478271005
2003-08-01,1388.8069959237844
2003-09-01,1424.3461297365066
2003-10-01,1600.3158075343415
2003-11-01,1733.8345286392741
2003-12-01,2017.8099838969395
2004-01-01,2389.5209580838323
2004-02-01,2205.5526284978337
2004-03-01,2423.4453180843457
2004-04-01,1967.2099183283055
2004-05-01,2030.8831306187205
2004-06-01,1080.3729344915423
2004-07-01,1135.8950306923412
2004-08-01,1199.1976886320704
2004-09-01,1278.9975779507356
2004-10-01,1458.4055723618983
2004-11-01,1616.5961098764562
2004-12-01,2054.584013050571
2005-01-01,2360.7142857142862
2005-02-01,2376.708745593085
2005-03-01,2427.229819678083
2005-04-01,2303.6995357996907
2005-05-01,1383.7095983064848
2005-06-01,1098.2605302037746
2005-07-01,785.3225480283114
2005-08-01,1049.1128160510427
2005-09-01,1146.7089785455948
2005-10-01,1399.2674326015242
2005-11-01,1498.8870109017155
2005-12-01,1697.4319492206885
2006-01-01,2065.790914066776
2006-02-01,2245.2271231073073
2006-03-01,2132.2798440137362
2006-04-01,2450.0
2006-05-01,2086.820809248555
2006-06-01,1088.0155957799652
2006-07-01,722.0115472022605
2006-08-01,1074.4541264000648
2006-09-01,1199.4036645997433
2006-10-01,1278.6091521289568
2006-11-01,1518.5493831443678
2006-12-01,1746.2235288085183
2007-01-01,1932.9206290666732
2007-02-01,2393.3333333333335
2007-03-01,2080.8934764206333
2007-04-01,2008.569667077681
2007-05-01,2199.2594500611754
2007-06-01,919.2294022499947
2007-07-01,868.4978331196971
2007-08-01,762.2294825878229
2007-09-01,1093.6633256534053
2007-10-01,1331.1691648354051
2007-11-01,1633.945464939972
2007-12-01,2031.7455707232064
2008-01-01,2396.9196533145932
2008-02-01,2596.644812957964
2008-03-01,
2008-04-01,2013.9771044404215
2008-05-01,1661.796366073545
2008-06-01,1146.3660222828141
2008-07-01,658.163173941933
2008-08-01,1232.6130807516063
2008-09-01,1266.3321849976494
2008-10-01,1476.993725184639
2008-11-01,1656.1969281446898
2008-12-01,2128.6287089013636
2009-01-01,2175.1021202100756
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,2002.8896257697772
2009-06-01,1144.6283849918434
2009-07-01,1205.3618733582964
2009-08-01,1166.704616951793
2009-09-01,1318.158294044329
2009-10-01,1420.9833526906698
2009-11-01,1522.2858744716943
2009-12-01,1754.4505598785347
2010-01-01,2050.2493765586037
2010-02-01,2107.5225348265503
2010-03-01,2543.1874689209344
2010-04-01,2400.824175824176
2010-05-01,1649.6123416938144
2010-06-01,1006.9568156695078
2010-07-01,736.812625886378
2010-08-01,1042.5587467362925
2010-09-01,1188.8730454621334
2010-10-01,1350.5151760265003
2010-11-01,1571.3087926015687
2010-12-01,1893.1639566395663
2011-01-01,2100.26450559964
2011-02-01,
2011-03-01,2496.747967479675
2011-04-01,1870.2621759622937
2011-05-01,1649.5566265060238
2011-06-01,1085.990223368864
2011-07-01,785.0972906974946
2011-08-01,772.2016796429419
2011-09-01,1090.5653563880069
2011-10-01,1281.1580092778192
2011-11-01,1513.5403002477774
2011-12-01,1770.4254252834437
2012-01-01,2087.8200155159043
2012-02-01,
2012-03-01,2100.0
2012-04-01,2200.0
2012-05-01,2020.113348607259
2012-06-01,1042.5955056710552
2012-07-01,1164.3990775908844
2012-08-01,1118.8463366605554
2012-09-01,1475.0064071532304
2012-10-01,1611.660167768399
2012-11-01,2013.7773920590148
2012-12-01,1932.7546825034267
2013-01-01,2427.6946107784433
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,1901.0118004978333
2013-06-01,1229.4598602967735
2013-07-01,1140.6808263020077
2013-08-01,1156.7980295566504
2013-09-01,1265.6466706371211
2013-10-01,1464.302270221509
2013-11-01,1653.8192958160228
2013-12-01,1911.5927176272005
2014-01-01,2090.787209237773
2014-02-01,2617.448923246825
2014-03-01,
2014-04-01,2293.609865470852
2014-05-01,1575.0467325012748
2014-06-01,664.6129066515631
2014-07-01,917.6934671202793
2014-08-01,1151.4449778781889
2014-09-01,1214.4275754219066
2014-10-01,1388.176749389873
2014-11-01,1630.847193747784
2014-12-01,2036.316122901489
2015-01-01,2300.0
2015-02-01,2384.811373873874
2015-03-01,
2015-04-01,2215.401785714286
2015-05-01,2146.4680347277026
2015-06-01,1044.037809987771
2015-07-01,708.6166611034287
2015-08-01,1078.1648500887977
2015-09-01,1277.8880825998347
2015-10-01,1418.998050843943
2015-11-01,1566.6866210176718
2015-12-01,2082.4080267558534
