group,variable,value
1.0,100,0.0
1.0,200,0.0
1.0,300,0.0
1.0,400,0.0
1.0,500,0.0
1.0,600,0.0
1.0,700,0.0
1.0,800,0.0
1.0,900,0.0
1.0,1000,0.0023437833280217646
1.0,1100,0.0023473011010433555
1.0,1200,0.0036168091964302465
1.0,1300,0.07410887625891543
1.0,1400,0.22004291872345022
1.0,1500,0.06567485543206385
1.0,1600,0.07098056301094592
1.0,1700,0.161753990365355
1.0,1800,0.11695726175000411
1.0,1900,0.1592288344410593
1.0,2000,0.31788631253799327
1.0,2100,0.5898261372067896
1.0,2200,1.5763656187478554
1.0,2300,2.2775525415875766
1.0,2400,3.559277651170863
1.0,2500,5.8819507951085415
1.0,2600,8.126587761035108
1.0,2700,9.580108223714642
1.0,2800,11.903364690826903
1.0,2900,13.418102712847594
1.0,3000,15.781793993356827
1.0,3100,18.306470739055147
1.0,3200,19.955453592976625
1.0,3300,23.939391905496993
1.0,3400,25.32520619958307
1.0,3500,35.83908279220781
1.0,3600,44.14785447761194
1.0,3700,32.2488
1.0,3800,41.20527156549522
1.0,3900,50.14925373134329
2.0,100,0.0
2.0,200,0.0
2.0,300,0.0
2.0,400,0.0
2.0,500,5.811246849565822E-4
2.0,600,5.469023451172588E-5
2.0,700,0.0
2.0,800,0.0
2.0,900,0.0
2.0,1000,2.885814590176691E-4
2.0,1100,2.088700132284342E-4
2.0,1200,7.545693365379267E-4
2.0,1300,0.04942316528477466
2.0,1400,0.18945342234067686
2.0,1500,0.059723988024443724
2.0,1600,0.06284653862120317
2.0,1700,0.1934849656637592
2.0,1800,0.1155232721765825
2.0,1900,0.13475290091908346
2.0,2000,0.26233209124112955
2.0,2100,0.44181803264654596
2.0,2200,1.0944095787461727
2.0,2300,1.2013661903970518
2.0,2400,1.4630884454168116
2.0,2500,2.312935376286899
2.0,2600,2.842909902220093
2.0,2700,3.441502926743224
2.0,2800,4.827851444441351
2.0,2900,5.79904773076264
2.0,3000,6.951619915482658
2.0,3100,7.739119287225175
2.0,3200,8.939195780194373
2.0,3300,13.236391704141203
2.0,3400,13.249977340705152
2.0,3500,22.198254870129873
2.0,3600,26.737406716417908
2.0,3700,18.5456
2.0,3800,26.665335463258792
2.0,3900,34.22921108742005
3.0,100,0.0
3.0,200,0.0
3.0,300,0.0
3.0,400,0.0
3.0,500,8.187115727288864E-4
3.0,600,0.0
3.0,700,0.0
3.0,800,0.0
3.0,900,0.0
3.0,1000,7.528211974373976E-5
3.0,1100,8.578589829024974E-4
3.0,1200,0.0019283438600413679
3.0,1300,0.02692102311064384
3.0,1400,0.1573999345166226
3.0,1500,0.051968584669647294
3.0,1600,0.061455246425181
3.0,1700,0.1919717483064853
3.0,1800,0.127330233056811
3.0,1900,0.1371493123341179
3.0,2000,0.23056913933540732
3.0,2100,0.35959883853661934
3.0,2200,1.0062589097194687
3.0,2300,1.070582586696348
3.0,2400,1.1672533173435398
3.0,2500,1.7936217313548073
