COD_CUEN,SCA_max_MK,SCA_max_sen,SCA_min_MK,SCA_min_sen,SCA_mean_MK,SCA_mean_sen,snowline_max_MK,snowline_max_sen,snowline_min_MK,snowline_min_sen,snowline_mean_MK,snowline_mean_sen
BNA_010,0.503,-0.045,0.551,-0.002,0.602,-0.012,,,,,,
BNA_023,1,0.013,0.005,0.009,0.901,0.006,,,,,,
BNA_024,0.823,0.248,0.01,0.009,0.98,-0.007,,,,,,
BNA_030,0.98,0.001,0.371,-0.006,0.637,-0.138,,,,,,
BNA_038,0.286,-0.317,0.263,-0.004,0.118,-0.177,,,,,,
BNA_043,0.05,-0.598,0.019,-0.005,0.035,-0.353,,,,,,
BNA_045,0.047,-0.306,0.515,0,0.016,-0.233,,,,,,
BNA_047,0.157,-0.385,0.53,0,0.002,-0.292,,,,,,
BNA_051,0.074,-0.366,0.858,0,0.016,-0.13,,,,,,
BNA_052,0.118,-0.3,0.691,0,0.002,-0.101,,,,,,
BNA_054,0.137,-0.24,0,-0.04,0,-0.4,0.001,27.7,0.056,16.7,-0.000005647,28.9
BNA_057,0.092,-0.227,0,-0.078,0,-0.39,,,,,,
BNA_060,0.137,-0.145,0,-0.12,0,-0.222,,,,,,
BNA_071,0.173,-0.09,0,-0.031,0,-0.281,,,,,,
BNA_073,0.673,-0.038,0,-0.012,0.009,-0.174,,,,,,
BNA_081,0.078,0.244,0,-0.013,0.941,0.01,,,,,,
BNA_083,0.385,0.201,0.001,-0.011,0.503,-0.068,,,,,,
BNA_091,0.568,0.044,0.022,-0.005,0.941,0.002,,,,,,
BNA_094,0.359,0.19,0.002,-0.189,0.673,0.021,,,,,,
BNA_101,0.078,0.226,0.017,-0.005,0.092,0.043,,,,,,
BNA_103,0.035,0.206,0.213,-0.002,0.063,0.042,,,,,,
BNA_104,0.008,0.373,0.747,-0.001,0.05,0.08,,,,,,
BNA_105,0.637,0.148,0.309,-0.033,0.535,0.083,,,,,,
BNA_106,0.005,0.625,0.082,-0.01,0.063,0.263,,,,,,
BNA_107,0.173,0.401,0.224,-0.024,0.413,0.159,,,,,,
BNA_108,0.087,0.46,0.029,0.036,0.157,0.223,,,,,,
BNA_110,0.107,0.495,0.157,-0.025,0.535,0.099,,,,,,
BNA_111,0.024,0.996,0.747,0.004,0.056,0.279,,,,,,
BNA_112,0.006,0.304,0.019,0.003,0.007,0.088,,,,,,
BNA_113,0.637,0.263,0.253,-0.013,0.602,0.109,,,,,,
BNA_114,0.07,0.375,0.766,0.003,0.143,0.126,,,,,,
BNA_115,0.087,0.665,0.457,-0.031,0.941,-0.002,,,,,,
BNA_116,0.056,0.739,0.137,0.036,0.359,0.198,,,,,,
BNA_117,0.031,0.674,0.197,0.111,0.087,0.288,,,,,,
BNA_118,0.143,0.142,0.602,-0.023,0.157,0.115,,,,,,
BNA_119,0.286,0.233,0.747,0.023,0.063,0.222,,,,,,
BNA_120,0.333,0.104,0.747,0.049,0.244,0.09,,,,,,
BNA_121,0.244,0.261,0.487,0.008,0.309,0.071,,,,,,
BNA_122,0.673,0.09,0.102,0.106,0.13,0.134,,,,,,
BNA_123,0.747,0.047,0.224,0.013,0.637,0.022,,,,,,
BNA_124,0.07,0.385,0.101,0.011,0.045,0.143,,,,,,
BNA_125,0.118,0.628,0.172,0.004,0.056,0.168,,,,,,
BNA_126,0.021,0.842,0.001,0.117,0.024,0.27,,,,,,
BNA_127,0.13,0.226,0.487,0.008,0.05,0.113,,,,,,
BNA_128,0.333,0.26,0.082,0.03,0.05,0.162,,,,,,
BNA_129,0.309,0.122,0.551,0.009,0.535,0.032,,,,,,
