COD_CUEN,SCA_MK_p_value,SCA_Sen,snowline_MK_p_value,snowline_Sen
BNA_010,0.63,-0.01,0.751,0.2
BNA_023,0.49,0.03,0.139,-4.3
BNA_024,0.63,0.07,0.369,-1.9
BNA_030,1,0.01,0.751,5.6
BNA_038,0.25,-0.12,0.369,11.5
BNA_043,0.04,-0.27,0.057,29.7
BNA_045,0.03,-0.19,0.065,22.5
BNA_047,0.01,-0.24,0.154,19.5
BNA_051,0.03,-0.09,0.065,21.3
BNA_052,0.01,-0.07,0.013,22.9
BNA_054,0,-0.34,0.017,14.6
BNA_057,0,-0.33,0.01,15.4
BNA_060,0,-0.24,0.013,8.4
BNA_071,0,-0.24,0.02,7.9
BNA_073,0.03,-0.13,0.561,3
BNA_081,0.75,0.01,0.245,-5.4
BNA_083,0.85,-0.01,0.369,-4
BNA_091,0.94,0,1,0.06
BNA_094,0.75,0.02,0.428,-3.5
BNA_101,0.92,0,0.833,-0.5
BNA_103,0.96,0,0.342,-2.9
BNA_104,0.43,0.02,0.126,-6.9
BNA_105,0.46,-0.05,0.428,-4.3
BNA_106,0.17,0.11,0.039,-5.6
BNA_107,0.83,-0.03,0.316,-3.4
BNA_108,0.43,0.08,0.139,-4.7
BNA_110,0.6,-0.07,0.224,-6.4
BNA_111,0.29,0.17,0.091,-8.3
BNA_112,0.02,0.07,0.057,-3.2
BNA_113,0.46,-0.07,0.369,-4.4
BNA_114,0.49,0.07,0.051,-4.6
BNA_115,1,-0.01,0.342,-3.5
BNA_116,1,0,0.154,-2
BNA_117,0.53,0.14,0.369,-2.6
BNA_118,0.46,-0.08,0.398,-0.7
BNA_119,0.67,0.03,0.635,-3.4
BNA_120,0.1,-0.14,0.398,-0.9
BNA_121,1,0,0.635,-0.3
BNA_122,0.48,-0.05,0.205,-3.7
BNA_123,0.2,-0.08,0.635,-0.1
BNA_124,0.6,0.06,0.224,-0.8
BNA_125,0.4,0.13,0.045,-2.1
BNA_126,0.19,0.1,0.205,-3.3
BNA_127,0.6,0.07,0.113,-0.7
BNA_128,0.43,0.07,0.316,-0.7
BNA_129,0.6,0.06,0.369,-0.3
