Question,1,2,3,4,5
10,0.012686674,0,0,0,0
23,0,0,0,0,0.508655326
24,0,0,0,0,0.319235796
30,0,0,0,0,0.083457685
38,0.884047539,0,0,0,0
43,31.04849886,0,0,0,0
45,27.83589128,0,0,0,0
47,37.29027316,0,0,0,0
51,13.51838549,0,0,0,0
52,12.38746004,0,0,0,0
54,65.0567373,0,0,0,0
57,62.0230233,0,0,0,0
60,44.44233888,0,0,0,0
71,40.0722056,0,0,0,0
73,18.19227334,0,0,0,0
81,2.345213119,0,0,0,0
83,1.629636176,0,0,0,0
91,1.001436765,0,0,0,0
94,2.031269445,0,0,0,0
101,0.398595173,0,0,0,0
103,0.396728132,0,0,0,0
104,0,0,0,0,0.274885629
105,9.955723005,0,0,0,0
106,0,0,0,0,2.884647165
107,15.34195234,0,0,0,0
108,0,0,0,0,2.067867335
110,25.29741573,0,0,0,0
111,0,0,0,0,2.850197982
112,0,0,0,0,2.764063667
113,22.07230342,0,0,0,0
114,2.161109076,0,0,0,0
115,18.70520903,0,0,0,0
116,14.32605526,0,0,0,0
117,7.734408034,0,0,0,0
118,11.03454441,0,0,0,0
119,5.237992811,0,0,0,0
120,11.53423802,0,0,0,0
121,1.817889565,0,0,0,0
122,14.03926196,0,0,0,0
123,3.426981468,0,0,0,0
124,0,0,0,0,0.170361712
125,0,0,0,0,2.709752449
126,0,0,0,0,0.52433121
127,0,0,0,0,0.371151992
128,0,0,0,0,0.162914713
129,0.302926956,0,0,0,0
