Question,1,2,3,4,5
10,1.44,0,0,0,0
23,0,0,0,0,20.63
24,0,0,0,0,16.94
30,0,0,0,0,13.03
38,86.75,0,0,0,0
43,3050.65,0,0,0,0
45,3255.62,0,0,0,0
47,2853.92,0,0,0,0
51,268.77,0,0,0,0
52,245.28,0,0,0,0
54,4771.13,0,0,0,0
57,9472.86,0,0,0,0
60,6117.86,0,0,0,0
71,2537.26,0,0,0,0
73,3829.89,0,0,0,0
81,265.63,0,0,0,0
83,397.12,0,0,0,0
91,126.86,0,0,0,0
94,171.6,0,0,0,0
101,40.83,0,0,0,0
103,60.96,0,0,0,0
104,0,0,0,0,37.13
105,308.05,0,0,0,0
106,0,0,0,0,180.24
107,626.61,0,0,0,0
108,0,0,0,0,56.02
110,1955.99,0,0,0,0
111,0,0,0,0,490.2
112,0,0,0,0,671.01
113,2528.53,0,0,0,0
114,759.7,0,0,0,0
115,3917.8,0,0,0,0
116,649.18,0,0,0,0
117,587.02,0,0,0,0
118,1826.77,0,0,0,0
119,14.29,0,0,0,0
120,1609.06,0,0,0,0
121,360.84,0,0,0,0
122,2503.05,0,0,0,0
123,852.78,0,0,0,0
124,0,0,0,0,35.21
125,0,0,0,0,481.33
126,0,0,0,0,48.94
127,0,0,0,0,103.67
128,0,0,0,0,68.78
129,106.68,0,0,0,0
